ResponseId,age,sex,race,AC_1,AC_2,AC_3,AC_4,AC,Condition,Version,Order,1_Test blockV1_INT,2_Test blockV1_INT,3_Test blockV1_INT,4_Test blockV1_MCI,5_Test blockV1_MCI,6_Test blockV1_MCI,7_Test blockV1_INT,8_Test blockV1_INT,9_Test blockV1_INT,10_Test blockV1_MCI,11_Test blockV1_MCI,12_Test blockV1_MCI,13_Test blockV1_INT,14_Test blockV1_INT,15_Test blockV1_INT,16_Test blockV1_MCI,17_Test blockV1_MCI,18_Test blockV1_MCI,19_Test blockV1_INT,20_Test blockV1_INT,21_Test blockV1_INT,22_Test blockV1_MCI,23_Test blockV1_MCI,24_Test blockV1_MCI
R_1BXxq5zcrJOK9OC,19,1,2,1,2,3,4,1,2,2,4,2,2,2,2,2,2,3,3,3,3,3,3,1,4,4,4,4,1,2,1,1,1,1,1
R_2y2umXZAwhQN1hW,20,2,1,1,2,3,4,1,2,2,4,2,2,4,2,2,3,1,4,3,3,1,2,4,1,3,3,3,4,1,4,1,2,3,3
R_2rve84AhSW2Cnip,18,1,1,1,2,3,4,1,2,2,4,2,4,2,2,2,4,3,1,1,3,3,3,3,2,4,2,2,2,4,1,2,1,3,1
R_3rP6PM3o9CyqR32,18,1,1,1,2,3,4,1,2,2,4,2,2,3,2,2,2,2,4,3,3,4,1,4,1,4,1,4,4,3,4,4,3,1,3
R_1op8FjHmKGPDlrg,18,1,1,1,2,3,4,1,2,2,4,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,3,4,4,1,3,1,1,1,1
R_3QPhWyXReSAUPyV,19,2,4,1,2,3,4,1,2,2,4,2,1,3,2,2,2,1,1,1,4,1,1,1,4,4,3,4,4,4,1,3,1,1,1
R_3O9sDUE9Z1i7aqK,19,2,1,1,2,3,4,1,2,2,4,2,2,2,2,2,2,3,1,3,3,3,3,4,2,4,4,4,4,1,1,1,1,3,1
R_0CktArpn6yFoASJ,20,1,2,1,2,3,4,1,2,2,4,2,3,3,3,3,3,2,2,2,2,2,2,4,4,4,4,4,4,1,1,1,1,1,1
R_3DimouvtvtoVIF3,19,2,1,1,2,3,4,1,2,2,4,2,1,1,2,2,1,3,3,3,3,3,3,1,4,4,4,4,4,1,1,1,1,1,1
R_12tcZIaRDsRNsA7,18,2,7,1,2,3,4,1,2,2,4,2,2,1,2,2,4,3,3,3,3,3,3,1,4,1,1,1,1,4,4,1,4,4,4
R_1LpWlfuyq1fgKGZ,19,2,6,1,2,3,4,1,2,2,4,2,4,3,4,2,1,3,1,3,3,2,2,1,2,2,1,2,2,3,1,1,3,1,2
R_AvZzfcaxJs8ayPf,18,2,1,1,2,3,4,1,2,2,4,2,1,1,2,2,2,3,3,3,3,3,3,4,4,4,4,4,3,1,1,1,1,1,1
R_SE23eoZvulrwEvv,18,2,1,1,2,3,4,1,2,2,4,3,2,2,2,2,1,4,3,3,1,1,3,1,2,4,3,1,3,1,1,3,1,3,1
R_9uwno24fVFCx45j,20,2,2,1,1,3,4,0.75,2,2,4,3,3,3,2,4,1,1,3,4,1,2,1,3,2,1,1,1,2,1,2,1,4,2,4
R_uxCucELFOepql4l,19,2,1,1,2,3,4,1,2,2,4,3,2,3,3,3,3,3,2,4,4,4,3,3,3,2,2,2,4,1,1,3,1,1,1
R_3gLrexHGjwNvXxe,22,1,1,1,2,3,4,1,2,2,4,3,1,2,2,4,1,2,3,1,3,2,2,3,3,1,3,3,2,2,4,3,3,4,2
R_eA1b4KHjA26mKfn,21,2,1,1,2,3,4,1,2,2,4,3,4,2,2,3,2,3,2,4,3,3,3,4,2,4,3,2,2,1,1,1,1,1,1
R_tMQX7EuIchnYxdT,18,1,4,1,2,3,4,1,2,2,4,4,3,4,1,2,2,3,3,2,3,4,3,3,3,4,4,2,1,1,2,3,1,2,1
R_3OfDBsD2Argrui2,19,1,1,1,2,3,4,1,2,2,4,4,1,2,2,4,4,3,3,2,3,3,2,1,2,4,2,4,4,1,1,1,1,1,1
R_Rl9DMTuxMJgk8Nz,19,2,1,1,2,3,4,1,2,2,4,4,2,2,2,2,1,1,3,3,2,3,4,3,4,3,1,4,4,1,2,1,1,1,1
R_2trq2YgGv7uHlV3,21,1,6,1,2,3,4,1,2,2,4,4,2,3,2,1,3,1,1,2,1,1,3,3,2,1,4,3,1,3,4,2,1,4,4
R_RC92UgHVWQgHgJj,19,2,7,1,1,3,4,0.75,2,2,4,4,2,3,4,3,3,4,1,1,3,4,3,1,4,4,3,2,4,2,2,2,2,2,4
R_27a5mHF02OyYuSm,18,2,2,1,2,3,4,1,2,2,4,4,3,4,4,4,4,1,1,2,2,2,2,2,3,2,2,1,3,4,2,1,3,1,1
