ID,Age,Sex,Race,Version,Condition,Order,1_Test blockV1_INT,2_Test blockV1_INT,3_Test blockV1_INT,4_Test blockV1_MCI,5_Test blockV1_MCI,6_Test blockV1_MCI,7_Test blockV1_INT,8_Test blockV1_INT,9_Test blockV1_INT,10_Test blockV1_MCI,11_Test blockV1_MCI,12_Test blockV1_MCI,13_Test blockV1_INT,14_Test blockV1_INT,15_Test blockV1_INT,16_Test blockV1_MCI,17_Test blockV1_MCI,18_Test blockV1_MCI,19_Test blockV1_INT,20_Test blockV1_INT,21_Test blockV1_INT,22_Test blockV1_MCI,23_Test blockV1_MCI,24_Test blockV1_MCI
2462,19,2,1,2,1,3,4,1,2,3,4,4,2,1,4,1,4,4,1,3,1,2,1,1,4,2,2,1,2,2
2496,18,1,1,1,1,1,3,1,4,1,3,3,4,1,4,1,1,2,3,2,4,3,4,2,4,1,3,3,1,1
2552,19,2,1,2,2,3,3,3,3,1,4,2,4,4,3,4,3,2,1,4,1,2,1,3,2,1,2,2,2,2
2643,20,1,6,1,1,2,4,3,2,4,1,4,3,3,3,1,1,1,3,2,2,2,2,2,1,1,2,3,3,1
2777,19,2,1,1,1,1,3,1,1,2,3,1,2,1,1,2,2,2,4,4,1,4,4,4,1,3,1,3,3,3
2858,21,2,6,1,1,2,4,3,3,4,4,1,1,3,2,1,1,1,1,3,2,3,2,2,4,1,2,3,1,2
2880,19,2,1,1,1,1,4,1,2,4,4,3,2,2,1,2,2,2,1,3,4,1,3,3,2,1,3,1,1,1
2963,18,2,1,2,2,3,2,1,2,3,1,2,1,2,3,3,4,1,1,1,1,1,1,1,4,3,2,4,2,3
2967,20,2,5,2,1,3,4,2,1,3,3,2,4,1,2,2,1,1,1,3,2,1,1,4,1,4,1,4,4,4
3001,18,1,2,2,1,3,3,3,1,3,4,3,4,3,3,3,2,4,1,1,3,1,1,4,3,2,4,2,2,2
3036,21,2,2,2,2,4,3,2,2,3,3,2,2,4,3,2,2,1,1,1,4,1,4,4,3,1,3,2,1,3
3042,19,2,1,1,2,1,1,4,1,1,1,3,4,2,4,2,2,3,3,2,3,2,1,1,1,3,1,4,4,3
3045,20,2,1,1,2,1,2,4,2,3,2,2,1,2,3,4,4,4,3,1,3,1,3,3,4,2,4,1,3,1
3054,18,2,1,2,2,3,4,3,2,4,1,4,2,2,1,1,1,2,3,1,3,2,1,3,4,2,3,3,3,3
3092,18,2,7,1,1,1,1,1,1,1,1,1,2,2,3,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4
3124,18,2,4,1,1,1,3,3,3,3,3,3,4,1,4,1,4,4,2,4,1,2,2,2,3,2,4,1,1,2
3137,18,2,1,1,1,1,1,4,1,1,1,1,4,2,2,2,2,2,3,3,4,2,3,3,4,4,4,4,4,4
3163,18,2,6,1,1,1,3,4,2,2,3,1,4,2,1,2,2,4,1,3,2,4,3,2,4,1,1,4,4,3
3287,18,2,7,1,2,2,4,4,4,1,4,2,3,3,4,2,2,3,3,2,3,1,4,2,1,3,4,1,1,1
3365,18,2,1,2,2,3,4,1,4,2,3,3,2,3,4,4,3,2,1,4,1,3,3,1,4,2,2,2,4,4
3422,18,1,7,1,2,1,3,4,2,3,1,2,4,4,4,4,2,2,3,3,2,3,1,2,2,2,2,3,2,3
3540,19,1,1,1,2,2,3,3,3,2,4,2,3,1,2,1,4,4,4,4,1,3,4,4,2,1,2,1,3,4
