"","ID","Animal","Artifact","Object","Plant","Biology","Physics","Psychology","INT","MCI","age","sex","race","AC_1","AC_2","AC_3","AC_4","AC","Version","Condition","Order","1_Test blockV1_INT","2_Test blockV1_INT","3_Test blockV1_INT","4_Test blockV1_MCI","5_Test blockV1_MCI","6_Test blockV1_MCI","7_Test blockV1_INT","8_Test blockV1_INT","9_Test blockV1_INT","10_Test blockV1_MCI","11_Test blockV1_MCI","12_Test blockV1_MCI","13_Test blockV1_INT","14_Test blockV1_INT","15_Test blockV1_INT","16_Test blockV1_MCI","17_Test blockV1_MCI","18_Test blockV1_MCI","19_Test blockV1_INT","20_Test blockV1_INT","21_Test blockV1_INT","22_Test blockV1_MCI","23_Test blockV1_MCI","24_Test blockV1_MCI","Breach","Transfer"
"69",3054,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.25,0.6,0.416666666666667,0.5,18,2,1,2,3,4,1,1,2,2,3,2,3,3,1,3,3,1,3,4,2,4,1,4,2,2,1,4,4,4,2,2,2,2,1,0.166666666666667,0.833333333333333
"70",3092,1,1,1,1,1,1,1,0.916666666666667,1,18,2,7,2,1,4,3,1,1,1,1,1,1,1,1,1,1,2,2,4,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,1,1
"71",3124,0,0,0,0,0,0,0,0.333333333333333,0,18,2,4,2,1,4,3,1,1,1,1,3,3,3,3,3,3,2,2,4,4,4,4,1,1,1,1,1,1,4,2,4,2,2,2,0,0
"72",3137,1,0.666666666666667,1,1,1,1,0.8,0.916666666666667,0.916666666666667,18,2,1,2,1,4,3,1,1,1,1,1,1,1,1,1,1,3,2,2,2,3,2,3,3,3,3,3,3,4,4,4,4,4,4,1,0.833333333333333
"73",3163,0.666666666666667,0.666666666666667,1,0,0,0.5,1,0.333333333333333,0.583333333333333,18,2,6,2,1,4,3,1,1,1,1,2,2,1,2,3,3,1,4,1,3,2,2,3,3,2,1,3,3,4,3,1,4,4,4,0.5,0.666666666666667
"74",3280,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.5,0.4,0.25,0.416666666666667,18,2,1,4,1,2,3,1,1,2,1,4,2,2,4,4,1,3,1,3,1,2,1,1,3,4,3,3,2,4,1,4,4,2,2,0.333333333333333,0.5
"75",3287,0.333333333333333,0.333333333333333,0,0.333333333333333,1,0,0,0.333333333333333,0.25,18,2,7,3,4,1,2,1,1,2,2,4,4,4,4,4,1,2,3,3,3,3,2,2,3,3,2,3,3,1,1,4,1,1,2,0.166666666666667,0.333333333333333
"76",3365,0.666666666666667,1,0.333333333333333,0,0.666666666666667,0.5,0.4,0.416666666666667,0.5,18,2,1,2,3,4,1,1,2,2,3,3,3,1,3,3,2,2,1,4,2,4,2,1,3,1,3,1,1,4,4,4,4,2,4,0.5,0.5
"77",3422,0.666666666666667,1,0.666666666666667,0.666666666666667,1,0.5,0.8,0.333333333333333,0.75,18,1,7,4,1,2,3,1,1,2,1,1,2,4,1,1,1,2,3,3,4,2,2,3,3,4,3,4,3,2,2,2,4,2,4,0.666666666666667,0.833333333333333
"78",3540,0.333333333333333,0,0.333333333333333,0,0,0.25,0.2,0.5,0.166666666666667,19,1,1,3,4,1,2,1,1,2,2,4,2,4,2,1,1,3,1,1,4,4,3,3,1,3,4,2,4,3,3,4,4,3,2,0.166666666666667,0.166666666666667
"79",3613,0.666666666666667,0.666666666666667,0,0.666666666666667,1,0.5,0.2,0.75,0.5,18,1,1,1,4,3,2,1,2,1,4,2,1,2,2,2,2,3,1,3,1,1,1,4,4,4,4,3,4,1,1,3,3,3,1,0.666666666666667,0.333333333333333
"80",3654,0.333333333333333,0,0.333333333333333,0.333333333333333,0.666666666666667,0,0.2,0,0.25,18,1,2,2,1,4,3,1,1,1,1,4,2,2,1,3,2,1,1,1,1,4,4,1,4,2,3,2,4,2,1,2,1,4,2,0.166666666666667,0.333333333333333
"81",3703,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,1,0,0.6,0.75,0.5,18,2,2,4,1,2,3,1,1,2,1,1,1,1,1,1,2,2,2,4,4,2,4,2,3,3,3,2,4,4,3,4,4,4,1,0.166666666666667,0.833333333333333
"82",3704,0.666666666666667,1,0.666666666666667,1,1,1,0.6,1,0.833333333333333,19,2,2,1,4,3,2,1,2,1,4,2,2,2,2,2,2,3,3,3,3,3,1,4,4,4,4,4,4,1,1,1,1,1,3,0.833333333333333,0.833333333333333
"83",3716,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.75,0.4,0.583333333333333,0.5,18,1,2,1,2,3,4,1,2,2,4,1,1,2,1,2,2,1,3,3,3,1,4,2,3,4,3,3,4,1,1,1,3,1,1,0.666666666666667,0.333333333333333
"84",3776,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.75,0.8,0.666666666666667,0.75,18,2,6,1,4,3,2,1,2,1,4,2,2,2,2,3,3,3,3,2,3,3,2,4,4,3,4,4,4,2,1,3,1,1,1,0.833333333333333,0.666666666666667
"85",3802,1,0.333333333333333,0.666666666666667,1,1,0.75,0.6,0.416666666666667,0.75,18,2,6,2,1,4,3,1,1,1,1,3,1,1,1,1,1,4,2,2,2,1,1,4,2,4,3,3,2,2,3,4,4,4,4,0.833333333333333,0.666666666666667
"86",4046,0,1,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.4,0.25,0.416666666666667,18,2,6,2,3,4,1,1,2,2,3,1,2,1,2,3,1,4,4,2,4,4,2,4,3,2,3,2,1,3,2,3,1,2,3,0.333333333333333,0.5
"87",4055,0.333333333333333,1,1,1,0.666666666666667,1,0.8,0.75,0.833333333333333,18,2,2,1,2,3,4,1,2,2,4,3,2,2,3,2,2,2,2,3,3,3,3,4,4,4,4,4,4,1,1,1,1,1,2,0.666666666666667,1
"88",4070,1,1,1,1,1,1,1,0.583333333333333,1,18,1,1,1,2,3,4,1,2,2,4,2,1,2,2,2,2,3,3,4,3,3,3,4,4,1,4,4,4,1,2,2,1,1,1,1,1
"89",4102,0.666666666666667,1,1,0,0.666666666666667,0.5,0.8,0.5,0.666666666666667,18,1,6,1,2,3,4,1,2,2,4,2,1,2,2,2,1,3,3,1,2,3,3,1,2,4,2,4,4,2,1,2,1,1,2,0.5,0.833333333333333
"90",4105,1,1,1,1,1,1,1,0.833333333333333,1,18,2,1,4,3,2,1,1,2,1,3,3,2,3,3,3,3,4,4,3,4,4,4,1,1,1,1,1,1,2,2,2,2,2,2,1,1
"91",4161,0.333333333333333,0,0.666666666666667,0.333333333333333,0,0.25,0.6,0.333333333333333,0.333333333333333,19,2,5,4,1,2,3,1,1,2,1,3,3,3,3,3,1,2,3,2,1,1,3,4,1,4,1,1,1,4,4,1,4,4,4,0.333333333333333,0.333333333333333
"92",4182,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0,0.75,0.4,0.25,0.416666666666667,18,2,2,3,4,1,2,1,1,2,2,2,1,3,1,3,4,1,2,2,1,3,3,2,3,1,1,3,2,4,2,3,1,3,3,0.666666666666667,0.166666666666667
"93",4183,0.666666666666667,1,0.333333333333333,1,1,1,0.4,0.5,0.75,21,2,1,1,2,3,4,1,2,2,4,2,2,1,2,2,2,1,3,1,3,3,3,3,3,4,4,4,4,1,2,1,2,4,4,0.833333333333333,0.666666666666667
"94",4191,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.5,0.4,0.416666666666667,0.5,19,2,6,4,3,2,1,1,2,1,3,3,3,1,1,3,2,2,4,3,4,4,3,3,2,4,1,1,4,2,2,3,2,1,4,0.333333333333333,0.666666666666667
"95",4204,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.25,0.2,0.416666666666667,0.333333333333333,19,2,6,4,3,2,1,1,2,1,3,1,3,3,3,3,3,2,3,4,2,2,1,2,3,1,2,4,2,3,3,2,4,2,3,0.333333333333333,0.333333333333333
"96",4221,0.666666666666667,1,0.333333333333333,0.666666666666667,0.666666666666667,0.75,0.6,0.916666666666667,0.666666666666667,18,2,6,3,4,1,2,1,1,2,2,4,4,1,4,4,4,1,1,1,1,1,4,2,2,2,4,4,2,3,3,3,4,3,3,0.833333333333333,0.5
"97",4259,0,0,0,0,0,0,0,0.166666666666667,0,18,2,5,2,1,4,3,1,1,1,1,3,3,2,3,2,2,1,3,1,3,1,1,1,2,2,2,2,2,4,4,1,1,1,1,0,0
"98",4296,0.666666666666667,1,1,1,1,0.75,1,0.75,0.916666666666667,18,2,6,2,1,4,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,3,3,3,3,1,3,2,4,4,4,4,4,0.833333333333333,1
"99",4626,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.5,0.4,0.583333333333333,0.5,19,1,1,3,4,1,2,1,1,2,2,4,4,3,3,4,3,1,1,1,1,3,1,2,3,2,2,3,2,2,2,4,2,4,3,0.5,0.5
"100",4689,1,0.666666666666667,1,0.666666666666667,1,0.5,1,0.833333333333333,0.833333333333333,19,2,2,3,2,1,4,1,1,1,2,4,4,4,4,4,4,1,1,2,3,1,1,2,2,2,2,2,4,3,2,3,3,3,3,0.666666666666667,1
"101",4718,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.75,0.4,0.5,0.583333333333333,18,2,1,4,1,2,3,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,3,4,3,3,3,3,3,3,0.666666666666667,0.5
"102",4878,0.333333333333333,0.666666666666667,0.333333333333333,0,0,0.5,0.4,0.0833333333333333,0.333333333333333,18,2,2,2,1,4,3,1,1,1,1,3,4,2,2,4,4,4,4,3,3,2,2,1,3,2,1,3,3,1,2,1,3,2,2,0.333333333333333,0.333333333333333
"103",4889,1,1,0.333333333333333,1,1,1,0.6,0.916666666666667,0.833333333333333,19,2,1,1,2,3,4,1,2,2,4,2,2,2,2,2,2,3,3,2,3,3,1,4,4,4,4,4,4,1,1,1,1,3,1,1,0.666666666666667
"104",4942,0.666666666666667,1,1,0.666666666666667,1,0.75,0.8,1,0.833333333333333,18,1,1,2,1,4,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,2,0.666666666666667,1
"105",5093,0,0,0,0,0,0,0,0.166666666666667,0,18,1,2,4,1,3,3,0.75,1,2,1,4,4,1,4,4,4,3,3,1,3,4,3,3,2,2,2,2,2,1,1,1,3,1,3,0,0
"106",5105,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,1,0,0.6,0.5,0.5,21,2,1,1,4,3,2,1,2,1,4,2,1,4,2,2,3,3,1,4,4,1,3,3,3,4,4,3,3,1,1,1,3,1,1,0.333333333333333,0.666666666666667
"107",5182,1,1,0.666666666666667,0.666666666666667,0.666666666666667,1,0.8,0.583333333333333,0.833333333333333,20,1,1,1,4,3,2,1,2,1,4,2,2,4,2,2,2,4,3,3,3,3,2,1,2,4,2,4,4,1,3,1,1,1,1,1,0.666666666666667
"108",5404,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,1,0.25,0.6,0.833333333333333,0.583333333333333,18,1,6,3,2,1,4,1,1,1,2,4,4,4,4,4,1,1,1,3,1,2,4,4,2,2,2,4,1,3,3,3,3,3,3,0.5,0.666666666666667
"109",5466,1,1,1,1,1,1,1,0.583333333333333,1,19,2,1,4,1,2,3,1,1,2,1,1,4,4,1,1,1,2,3,1,2,2,2,3,3,3,3,3,3,1,4,4,4,4,4,1,1
"110",5497,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.5,0.4,0.5,0.5,18,1,6,3,4,1,2,1,1,2,2,4,1,1,4,4,4,1,1,4,3,4,4,2,2,3,1,1,2,4,3,4,2,3,3,0.666666666666667,0.333333333333333
"111",5498,0,0,0,0.333333333333333,0,0.25,0,0.25,0.0833333333333333,17,2,1,1,4,3,2,1,2,1,4,4,3,3,1,3,2,4,3,4,2,4,4,2,4,3,2,1,1,3,4,1,2,3,2,0.166666666666667,0
"112",5509,0.666666666666667,0.666666666666667,1,0.333333333333333,0.333333333333333,0.75,0.8,0.666666666666667,0.666666666666667,18,2,7,1,4,3,2,1,2,1,4,2,2,2,4,2,2,3,3,3,4,2,3,1,3,2,2,4,4,1,1,2,1,1,1,0.666666666666667,0.666666666666667
"113",5522,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,1,0.5,0.6,0.0833333333333333,0.666666666666667,19,1,4,2,3,4,1,1,2,2,3,4,3,2,3,3,3,2,2,2,3,4,4,2,3,2,1,1,4,3,3,4,3,2,3,0.5,0.833333333333333
"114",5652,0.666666666666667,0,0,0,0,0.25,0.2,0.5,0.166666666666667,23,1,2,1,4,3,2,1,2,1,4,2,3,2,1,3,1,3,4,4,2,1,1,4,3,2,3,4,1,1,2,1,4,4,1,0.333333333333333,0
"115",5654,0.666666666666667,0,0,0.333333333333333,0.333333333333333,0.25,0.2,0.333333333333333,0.25,17,2,6,3,4,1,2,1,1,2,2,1,1,3,4,3,4,3,1,1,2,3,3,2,2,3,1,4,3,1,2,2,2,1,3,0.5,0
"116",5668,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.75,0.2,0.333333333333333,0.5,19,2,6,2,1,4,3,1,1,1,1,3,1,1,1,1,1,2,2,1,2,3,2,4,4,4,4,3,4,1,3,3,3,3,3,0.666666666666667,0.333333333333333
"117",5715,1,1,0,0.333333333333333,0.666666666666667,0.75,0.4,0.5,0.583333333333333,19,1,6,1,4,3,2,1,2,1,4,2,2,2,2,2,3,1,3,2,3,3,1,1,2,4,1,4,4,1,4,4,2,3,1,0.833333333333333,0.333333333333333
"118",5759,0.666666666666667,0,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.4,0.333333333333333,0.5,19,2,4,1,4,3,2,1,2,1,4,4,2,1,2,1,1,3,3,2,3,1,3,2,3,4,4,4,3,3,4,4,2,1,4,0.5,0.5
"119",5795,0.666666666666667,0.666666666666667,1,1,0.666666666666667,0.75,1,0.666666666666667,0.833333333333333,18,2,7,3,2,1,4,1,1,1,2,3,4,3,2,4,4,1,1,1,1,1,1,2,1,2,2,2,4,3,2,3,3,3,3,0.666666666666667,1
"120",5830,0.666666666666667,0.666666666666667,1,0.666666666666667,1,0.5,0.8,0.5,0.75,20,2,1,1,2,3,4,1,2,2,4,2,2,2,2,2,1,3,3,1,3,4,3,3,2,1,4,1,4,2,4,1,1,1,1,0.666666666666667,0.833333333333333
"121",5840,0.666666666666667,0,0.333333333333333,0,0.333333333333333,0,0.4,0.166666666666667,0.25,20,2,1,4,3,2,1,1,2,1,3,3,1,2,3,4,2,3,1,3,2,3,2,2,4,4,4,4,3,1,2,4,2,1,2,0.333333333333333,0.166666666666667
"122",5878,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0.25,0,0.25,0.166666666666667,20,2,5,3,4,1,2,1,1,2,2,2,2,2,3,3,3,4,1,2,3,4,4,2,3,4,2,2,1,4,2,3,2,1,4,0.166666666666667,0.166666666666667
"123",6028,0.333333333333333,0,0,1,0.333333333333333,0.5,0.2,0.0833333333333333,0.333333333333333,20,2,1,1,4,3,2,1,2,1,4,1,2,4,1,1,2,2,2,2,3,4,1,1,2,3,4,1,2,2,4,4,3,4,1,0.5,0.166666666666667
"124",6031,0.333333333333333,0.333333333333333,1,0,0,0,1,0.0833333333333333,0.416666666666667,19,2,7,2,1,4,3,1,1,1,1,3,4,3,2,3,3,3,1,3,3,2,2,2,4,1,2,4,1,4,3,1,4,4,4,0.166666666666667,0.666666666666667
"125",6071,0.666666666666667,0,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.4,0.583333333333333,0.5,18,1,2,3,2,1,4,1,1,1,2,1,1,4,4,2,1,1,1,1,1,4,1,2,2,3,2,2,3,3,2,4,3,1,4,0.5,0.5
"126",6088,1,1,0.333333333333333,0.666666666666667,1,0.75,0.6,0.666666666666667,0.75,18,2,7,4,1,2,3,1,1,2,1,1,1,4,1,1,2,1,2,2,2,2,4,3,3,2,3,3,3,4,2,4,4,3,4,0.833333333333333,0.666666666666667
"127",6099,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,1,0.25,0.4,0.25,0.5,18,2,1,2,1,4,3,1,1,1,1,2,2,3,1,1,2,1,3,3,2,1,1,4,2,2,3,2,1,4,4,4,4,3,4,0.5,0.5
"128",6115,0.333333333333333,0,0.666666666666667,0,0.333333333333333,0,0.4,0.333333333333333,0.25,20,2,2,3,4,1,2,1,1,2,2,2,1,3,4,1,1,1,3,3,2,4,1,1,3,2,4,4,1,3,4,3,2,3,2,0.166666666666667,0.333333333333333
"129",6163,1,1,1,0.666666666666667,0.666666666666667,1,1,0.916666666666667,0.916666666666667,18,2,1,1,4,3,2,1,2,1,4,2,2,2,2,2,2,3,3,2,3,3,3,4,4,4,3,4,4,1,1,1,1,1,1,1,0.833333333333333
"130",6169,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0.25,0.4,0.25,0.25,18,1,6,4,3,2,1,1,2,1,3,3,1,1,1,1,1,4,4,1,4,4,4,4,2,2,2,2,2,3,3,3,3,3,3,0.166666666666667,0.333333333333333
"131",6178,0.666666666666667,0.333333333333333,0.333333333333333,0,0.333333333333333,0.25,0.4,0.416666666666667,0.333333333333333,18,1,2,1,2,3,4,1,2,2,4,4,3,2,2,4,3,1,3,2,2,4,3,1,3,2,1,2,4,1,1,1,3,2,1,0.5,0.166666666666667
"132",6184,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.5,0.6,0.416666666666667,0.5,18,2,6,4,1,2,3,1,1,2,1,1,2,2,4,1,4,2,2,2,2,4,2,4,2,3,2,3,1,3,3,3,3,4,4,0.5,0.5
"133",6228,0,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0,0.2,0.5,0.25,19,2,2,3,2,1,4,1,1,1,2,3,2,4,2,4,3,1,1,2,3,3,1,2,1,3,2,3,4,3,3,2,2,2,2,0,0.5
"134",6361,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.5,0.4,0.333333333333333,0.5,18,2,2,2,1,4,3,1,1,1,1,1,4,1,1,1,2,4,2,3,2,2,2,3,4,4,4,3,4,3,2,3,3,3,2,0.5,0.5
"135",6365,1,1,0.666666666666667,1,1,1,0.8,0.666666666666667,0.916666666666667,19,2,1,2,3,4,1,1,2,2,3,3,3,3,3,3,3,4,1,3,4,4,2,1,4,4,1,1,1,2,2,2,2,2,2,1,0.833333333333333
"136",6385,0,0,0.666666666666667,0,0,0,0.4,0.25,0.166666666666667,17,2,2,2,3,4,1,1,2,2,3,4,2,3,4,2,1,3,1,1,1,3,3,3,1,4,2,4,3,2,1,4,2,2,1,0,0.333333333333333
"137",6412,0.666666666666667,0.333333333333333,0,0.666666666666667,1,0.5,0,0.5,0.416666666666667,18,2,1,2,1,4,3,1,1,1,1,1,1,1,1,1,1,4,1,1,4,4,4,3,3,3,3,3,4,2,2,2,2,2,2,0.5,0.333333333333333
"138",6429,1,0.666666666666667,1,0.666666666666667,1,0.5,1,0.666666666666667,0.833333333333333,18,2,2,1,4,3,2,1,2,1,4,2,1,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,3,3,1,1,1,1,1,0.666666666666667,1
"139",6435,1,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.5,0.8,0.416666666666667,0.666666666666667,18,2,6,1,4,3,2,1,2,1,4,2,1,1,2,2,2,4,1,4,1,3,4,4,4,3,3,4,3,3,1,1,1,1,1,0.666666666666667,0.666666666666667
"140",6467,0.333333333333333,0.666666666666667,0,0.666666666666667,0.333333333333333,0.75,0.2,0.583333333333333,0.416666666666667,20,2,6,2,3,4,1,1,2,2,3,2,3,3,2,4,4,2,4,2,4,4,1,1,1,1,1,1,1,3,2,3,3,3,4,0.5,0.333333333333333
"141",6482,0.333333333333333,0,0,0.333333333333333,0.666666666666667,0,0,0.25,0.166666666666667,18,2,2,3,2,1,4,1,1,1,2,1,3,4,4,2,1,2,3,4,3,4,4,1,4,3,2,4,1,3,3,1,2,1,2,0.166666666666667,0.166666666666667
"142",6522,1,0.666666666666667,0.666666666666667,1,1,1,0.6,0.75,0.833333333333333,18,2,2,4,1,2,3,1,1,2,1,1,1,1,1,1,1,2,4,2,2,4,3,4,4,3,3,3,3,4,4,4,4,4,4,1,0.666666666666667
"143",6672,1,1,1,1,1,1,1,0.583333333333333,1,18,2,2,1,2,3,4,1,2,2,4,2,3,2,2,2,2,4,3,3,3,3,3,1,3,3,4,4,4,1,1,1,1,1,1,1,1
"144",6718,0.333333333333333,0.333333333333333,0,0.333333333333333,0.333333333333333,0.5,0,0.25,0.25,19,1,1,2,2,4,3,0.75,1,1,1,4,3,4,2,4,3,3,2,3,3,4,3,3,2,3,3,3,3,1,3,2,3,3,2,0.333333333333333,0.166666666666667
