"","ID","Animal","Artifact","Object","Plant","Biology","Physics","Psychology","INT","MCI","age","sex","race","AC_1","AC_2","AC_3","AC_4","AC","Version","Condition","Order","1_Test blockV1_INT","2_Test blockV1_INT","3_Test blockV1_INT","4_Test blockV1_MCI","5_Test blockV1_MCI","6_Test blockV1_MCI","7_Test blockV1_INT","8_Test blockV1_INT","9_Test blockV1_INT","10_Test blockV1_MCI","11_Test blockV1_MCI","12_Test blockV1_MCI","13_Test blockV1_INT","14_Test blockV1_INT","15_Test blockV1_INT","16_Test blockV1_MCI","17_Test blockV1_MCI","18_Test blockV1_MCI","19_Test blockV1_INT","20_Test blockV1_INT","21_Test blockV1_INT","22_Test blockV1_MCI","23_Test blockV1_MCI","24_Test blockV1_MCI","Breach","Transfer"
"145",6754,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.5,0.4,0.5,0.416666666666667,18,1,5,3,2,1,4,1,1,1,2,4,4,1,4,1,4,1,1,4,1,1,1,3,2,1,3,3,3,3,2,2,2,2,2,0.5,0.333333333333333
"146",6828,1,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,1,0.8,0.833333333333333,0.75,18,2,1,1,4,3,2,1,2,1,4,2,2,2,2,4,2,3,3,2,3,3,3,4,2,4,3,4,4,1,1,1,3,1,1,1,0.5
"147",6898,1,1,1,0.666666666666667,1,0.75,1,0.75,0.916666666666667,20,2,6,2,3,4,1,1,2,2,3,3,4,2,3,3,2,3,4,4,4,4,4,1,1,1,1,1,1,2,2,2,2,2,2,0.833333333333333,1
"148",6945,0,0.666666666666667,0.666666666666667,0,0,0.25,0.6,0.416666666666667,0.333333333333333,19,1,1,3,2,1,4,1,1,1,2,1,4,1,1,1,1,4,1,3,4,1,3,4,2,2,4,3,2,3,4,2,3,3,4,0.166666666666667,0.5
"149",6967,0,0.666666666666667,1,0.666666666666667,0.666666666666667,0.25,0.8,0.416666666666667,0.583333333333333,18,1,6,4,1,2,3,1,1,2,1,1,2,3,2,1,1,3,2,1,4,2,2,3,3,1,3,2,4,1,3,4,4,4,2,0.166666666666667,1
"150",6979,0.666666666666667,0.666666666666667,0.666666666666667,0,0.333333333333333,0.25,0.8,0.25,0.5,18,1,6,4,3,2,1,1,2,1,3,1,4,4,3,4,4,2,3,1,3,4,1,4,3,4,2,3,1,2,2,2,2,2,2,0.5,0.5
"151",7067,1,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.75,0.6,0.666666666666667,0.666666666666667,18,2,1,2,3,4,1,1,2,2,3,3,3,3,3,3,3,4,4,3,1,1,3,1,3,4,2,1,1,2,2,3,2,2,2,0.833333333333333,0.5
"152",7108,1,1,0.666666666666667,0.666666666666667,0.666666666666667,1,0.8,0.5,0.833333333333333,18,2,2,2,3,4,1,1,2,2,3,1,3,4,3,3,3,1,1,3,4,4,1,4,1,1,3,1,1,2,2,2,2,2,2,1,0.666666666666667
"153",7137,0,0,0,0.333333333333333,0,0.25,0,0.25,0.0833333333333333,19,1,1,1,2,3,4,1,2,2,4,4,3,2,1,1,1,3,3,1,3,4,1,2,1,2,2,2,2,2,4,4,4,4,4,0.166666666666667,0
"154",7152,1,0.666666666666667,1,0.666666666666667,0.666666666666667,0.75,1,0.833333333333333,0.833333333333333,18,2,4,1,4,3,2,1,2,1,4,2,2,2,2,2,2,3,3,4,3,3,3,4,2,4,3,4,3,1,1,1,1,1,1,0.833333333333333,0.833333333333333
"155",7353,1,0.666666666666667,0.666666666666667,1,1,0.75,0.8,0.916666666666667,0.833333333333333,20,2,5,3,4,1,2,1,1,2,2,4,4,4,4,4,4,1,1,4,1,1,3,2,2,2,2,2,4,3,3,3,3,3,3,0.833333333333333,0.833333333333333
"156",7370,0.666666666666667,1,0.666666666666667,0.333333333333333,0.666666666666667,0.75,0.6,0.833333333333333,0.666666666666667,19,1,1,1,2,3,4,1,2,2,4,2,2,2,2,2,3,3,3,2,3,3,3,4,4,4,3,4,4,1,1,2,1,3,3,0.666666666666667,0.666666666666667
"157",7385,1,1,0.666666666666667,1,1,1,0.8,0.583333333333333,0.916666666666667,18,1,4,3,2,1,4,1,1,1,2,3,4,2,4,4,4,1,1,4,1,1,3,2,2,1,2,2,2,3,2,3,3,3,3,1,0.833333333333333
"158",7577,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.5,0.4,0.5,0.5,20,2,1,3,4,1,2,1,1,2,2,4,4,4,4,4,4,1,1,1,1,1,1,3,3,4,3,3,3,2,2,2,2,2,4,0.5,0.5
"159",7598,1,0,0,0.666666666666667,0.666666666666667,0.5,0.2,0.583333333333333,0.416666666666667,19,2,2,2,3,4,1,1,2,2,3,2,3,3,3,2,3,4,2,3,3,3,3,1,1,1,1,1,2,4,4,2,4,4,2,0.666666666666667,0.166666666666667
"160",7734,0.666666666666667,0,0.666666666666667,0.333333333333333,0.333333333333333,0.5,0.4,0.5,0.416666666666667,18,2,2,3,4,1,2,1,1,2,2,2,4,4,4,3,2,1,1,2,1,2,1,4,3,2,3,2,3,3,4,4,3,4,2,0.5,0.333333333333333
"161",7751,0.333333333333333,0,0.666666666666667,0.333333333333333,0,0.25,0.6,0.5,0.333333333333333,18,2,6,2,3,4,1,1,2,2,3,1,1,2,1,2,2,4,4,3,4,3,4,1,3,1,2,2,3,3,2,2,3,2,2,0.333333333333333,0.333333333333333
"162",7837,1,0.333333333333333,1,1,1,0.75,0.8,0.75,0.833333333333333,19,2,2,4,1,2,3,1,1,2,1,1,1,1,1,1,1,2,2,1,2,4,2,4,3,3,3,3,1,4,4,2,4,4,4,0.833333333333333,0.833333333333333
"163",7877,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0,0.25,0.8,0.333333333333333,0.416666666666667,20,1,1,3,4,1,2,1,1,2,2,2,3,4,2,3,1,1,3,2,1,1,1,2,4,2,1,4,3,1,1,4,3,4,3,0.333333333333333,0.5
"164",7918,0.666666666666667,0.333333333333333,1,0.666666666666667,1,0.25,0.8,0.583333333333333,0.666666666666667,20,1,2,3,2,1,4,1,1,1,2,4,3,3,4,4,2,1,1,1,1,3,1,2,3,3,2,4,4,3,4,3,3,3,3,0.5,0.833333333333333
"165",7941,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.25,0.6,0.416666666666667,0.5,19,2,4,4,1,2,3,1,1,2,1,1,1,1,1,1,1,3,3,3,3,3,3,4,2,2,2,2,2,4,3,4,4,4,4,0.5,0.5
"166",7944,0.333333333333333,0.333333333333333,1,0.333333333333333,0,0.25,1,0.583333333333333,0.5,18,2,2,4,1,2,3,1,1,2,1,3,3,1,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,4,4,4,4,4,4,0.333333333333333,0.666666666666667
"167",7960,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.75,0.6,0.666666666666667,0.583333333333333,19,2,1,1,2,3,4,1,2,2,4,2,2,1,4,2,2,3,3,4,1,1,4,4,3,4,3,4,4,1,1,2,1,1,1,0.666666666666667,0.5
"168",7990,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.4,0.416666666666667,0.416666666666667,19,2,1,2,3,4,1,1,2,2,3,2,3,3,4,3,4,1,1,2,4,3,1,2,3,3,4,2,1,2,2,2,2,1,2,0.5,0.333333333333333
"169",8003,0.333333333333333,0.333333333333333,0.333333333333333,0,0.666666666666667,0,0.2,0.333333333333333,0.25,18,1,1,2,3,4,1,1,2,2,3,2,1,2,3,3,4,2,3,4,3,3,2,1,4,3,4,4,4,2,2,3,2,4,3,0.166666666666667,0.333333333333333
"170",8016,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.75,0.4,0.416666666666667,0.5,18,2,4,2,3,4,1,1,2,2,3,2,3,2,3,2,2,4,4,1,4,4,4,1,2,1,4,1,1,3,3,3,3,3,3,0.666666666666667,0.333333333333333
"171",8045,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.25,0.6,0.166666666666667,0.5,22,1,1,4,3,2,1,1,2,1,3,3,1,3,3,3,3,1,3,3,3,3,2,3,2,3,4,4,4,1,1,1,2,2,2,0.5,0.5
"172",8103,1,1,1,1,1,1,1,0.833333333333333,1,18,2,2,3,2,1,4,1,1,1,2,4,4,4,4,4,4,1,1,1,1,1,1,3,2,3,2,2,2,3,3,3,3,3,3,1,1
"173",8109,0.666666666666667,1,0.666666666666667,1,0.666666666666667,1,0.8,0.583333333333333,0.833333333333333,18,2,7,4,1,2,3,1,1,2,1,1,1,1,4,1,1,2,2,3,2,2,3,2,4,4,3,3,3,4,4,1,4,4,4,0.833333333333333,0.833333333333333
"174",8120,0,0,0,0,0,0,0,0,0,18,2,6,2,1,4,3,1,1,1,1,2,2,2,2,2,2,1,3,1,1,3,1,4,4,4,4,4,4,3,3,3,3,3,3,0,0
"175",8134,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.75,0.6,0.416666666666667,0.666666666666667,19,2,1,1,4,3,2,1,2,1,4,2,3,1,2,2,2,3,4,2,3,3,1,1,4,2,3,4,1,1,1,3,1,1,2,0.666666666666667,0.666666666666667
"176",8171,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.5,0.6,0.75,0.583333333333333,18,1,1,4,3,2,1,1,2,1,3,3,2,2,2,3,2,4,4,4,2,2,4,1,1,1,1,1,1,2,2,3,4,2,2,0.5,0.666666666666667
"177",8235,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0,0.5,0.4,0.666666666666667,0.333333333333333,21,1,1,4,3,2,1,1,2,1,3,3,3,3,2,2,4,4,4,3,4,2,2,1,3,1,2,3,1,3,1,2,3,2,2,0.5,0.166666666666667
"178",8238,0.333333333333333,0.333333333333333,0,1,0.666666666666667,0.75,0,0.0833333333333333,0.416666666666667,18,2,6,2,3,3,1,1,2,2,3,2,2,2,3,4,3,3,3,3,4,2,3,2,4,3,1,4,1,3,2,3,3,1,1,0.666666666666667,0.166666666666667
"179",8286,0.333333333333333,0.666666666666667,0,0.333333333333333,1,0,0.2,0.25,0.333333333333333,19,2,4,1,2,3,4,1,2,2,4,2,1,3,2,2,4,1,1,4,1,3,4,4,4,3,4,1,3,2,4,4,4,3,3,0.166666666666667,0.5
"180",8385,1,0.666666666666667,1,0.666666666666667,0.666666666666667,1,0.8,0.916666666666667,0.833333333333333,17,2,2,4,3,2,1,1,2,1,3,3,3,3,3,3,3,4,1,4,4,3,4,1,1,1,4,1,1,2,2,2,2,2,2,1,0.666666666666667
"181",8454,0.333333333333333,0.666666666666667,1,0.333333333333333,0.666666666666667,0.5,0.6,0.666666666666667,0.583333333333333,18,2,7,3,2,1,4,1,1,1,2,4,2,4,4,4,2,1,1,2,1,4,1,3,2,1,1,4,2,3,3,3,3,3,4,0.5,0.666666666666667
"182",8622,0.666666666666667,1,1,0.666666666666667,0.666666666666667,1,0.8,0.333333333333333,0.833333333333333,20,2,1,4,3,2,1,1,2,1,3,3,3,1,3,3,3,2,2,4,4,4,4,2,1,4,4,1,1,1,4,1,2,2,1,0.833333333333333,0.833333333333333
"183",8641,1,0.333333333333333,1,0.666666666666667,0.333333333333333,0.75,1,0.75,0.75,17,2,1,1,4,3,2,1,2,1,4,2,2,3,2,1,2,1,3,3,3,3,3,4,3,4,1,4,2,1,1,1,1,1,1,0.833333333333333,0.666666666666667
"184",8715,1,0.333333333333333,1,0.333333333333333,0.333333333333333,0.5,1,0.333333333333333,0.666666666666667,19,2,1,1,4,3,2,1,2,1,4,4,3,2,2,4,3,4,3,4,3,3,3,1,3,2,2,4,2,3,1,1,1,1,1,0.666666666666667,0.666666666666667
"185",8770,1,0.666666666666667,1,0,0.666666666666667,0.5,0.8,0.5,0.666666666666667,19,2,1,1,4,3,2,1,2,1,4,3,3,3,2,2,3,2,4,3,4,2,3,3,4,4,3,4,4,1,1,1,1,1,1,0.666666666666667,0.666666666666667
"186",8848,1,1,0.333333333333333,1,1,1,0.6,0.916666666666667,0.833333333333333,19,2,1,3,2,1,4,1,1,1,2,4,4,4,4,4,4,3,1,1,1,1,3,2,2,2,2,2,2,3,3,3,1,3,3,1,0.666666666666667
"187",8852,1,0.666666666666667,1,1,1,1,0.8,0.75,0.916666666666667,18,2,6,3,4,1,2,1,1,2,2,4,4,4,4,4,4,1,1,4,1,4,1,2,2,3,2,2,2,3,3,4,3,3,3,1,0.833333333333333
"188",8898,0.666666666666667,0.333333333333333,0.666666666666667,0,0,0.5,0.6,0.25,0.416666666666667,23,1,2,3,2,1,4,1,1,1,2,2,3,2,2,2,1,1,3,2,4,3,1,3,4,2,4,2,2,3,1,2,3,1,3,0.5,0.333333333333333
"189",8929,1,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.5,0.6,0.333333333333333,0.583333333333333,21,1,6,4,3,2,3,0.75,2,1,3,3,4,2,3,3,3,2,2,3,2,3,4,3,1,4,3,1,3,2,2,4,1,2,2,0.666666666666667,0.5
"190",9048,0,0.666666666666667,0.333333333333333,0,0.333333333333333,0.25,0.2,0.25,0.25,17,2,2,4,1,2,3,1,1,2,1,3,3,1,4,1,2,3,4,2,3,3,4,2,2,2,2,4,3,4,1,1,2,4,2,0.166666666666667,0.333333333333333
"191",9113,0,0.333333333333333,1,0.666666666666667,0.333333333333333,0.25,0.8,0.416666666666667,0.5,18,2,1,3,2,1,4,1,1,1,2,2,4,2,2,1,2,3,1,4,1,1,1,2,4,1,2,1,1,3,3,4,3,3,2,0.166666666666667,0.833333333333333
"192",9162,0.666666666666667,0,1,0.333333333333333,0.333333333333333,0.25,0.8,0.333333333333333,0.5,18,1,1,1,4,3,2,1,2,1,4,2,1,2,2,1,2,1,4,3,1,1,3,3,1,3,1,3,3,2,3,1,1,1,1,0.5,0.5
"193",9234,0.666666666666667,0.666666666666667,1,0.333333333333333,0.666666666666667,0.25,1,0.666666666666667,0.666666666666667,17,2,6,1,4,3,2,1,2,1,4,2,2,2,2,2,1,1,1,3,3,3,3,4,2,4,1,2,3,1,1,4,1,1,1,0.5,0.833333333333333
"194",9274,0,1,0.666666666666667,1,0.666666666666667,0.75,0.6,0.25,0.666666666666667,18,1,1,3,4,1,2,1,1,2,2,2,4,4,3,4,4,3,2,2,1,1,1,4,4,4,2,4,2,3,2,2,4,3,4,0.5,0.833333333333333
"195",9390,1,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,1,0.4,0.333333333333333,0.583333333333333,22,1,6,3,2,1,4,1,1,1,2,2,3,4,4,3,4,3,3,4,1,2,4,2,2,3,4,2,2,4,3,1,1,3,3,1,0.166666666666667
"196",9529,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.25,0.2,0.75,0.333333333333333,20,2,1,4,3,2,1,1,2,1,3,3,2,3,3,3,4,2,4,4,4,1,1,1,1,1,2,3,4,2,2,3,2,4,4,0.333333333333333,0.333333333333333
"197",9538,0,0,0,0.666666666666667,0.333333333333333,0.25,0,0.166666666666667,0.166666666666667,18,2,5,2,3,4,1,1,2,2,3,1,2,3,1,4,1,2,2,3,4,3,3,2,4,1,1,2,3,4,1,4,1,4,3,0.166666666666667,0.166666666666667
"198",9551,0.333333333333333,0.666666666666667,1,1,0.666666666666667,0.75,0.8,0.666666666666667,0.75,20,2,1,1,2,3,4,1,2,2,4,1,2,1,1,2,2,3,3,3,3,3,3,4,4,4,4,4,1,2,2,1,1,1,2,0.5,1
"199",9574,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.5,0.6,0.416666666666667,0.5,19,2,2,4,3,2,1,1,2,1,3,4,4,4,4,4,4,3,3,3,3,3,3,1,1,1,1,1,1,2,2,4,2,2,2,0.5,0.5
"200",9628,0,0,1,0.333333333333333,0,0.25,0.6,0.333333333333333,0.333333333333333,19,2,1,1,2,3,4,1,2,2,4,2,3,2,3,3,2,3,1,2,2,2,3,3,3,2,1,2,1,3,1,4,1,1,2,0.166666666666667,0.5
"201",9655,1,0.666666666666667,1,0.666666666666667,0.333333333333333,1,1,0.916666666666667,0.833333333333333,19,1,7,3,2,1,4,1,1,1,2,4,4,4,4,3,4,1,1,1,1,1,1,2,2,2,4,2,2,3,1,3,3,3,3,1,0.666666666666667
"202",9661,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.5,0.6,0.5,0.583333333333333,18,2,2,1,4,3,2,1,2,1,4,2,4,2,2,2,2,1,1,3,1,3,3,1,4,4,1,4,2,2,1,2,2,1,4,0.5,0.666666666666667
"203",9700,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.5,0.6,0.333333333333333,0.583333333333333,19,2,2,2,3,4,1,1,2,2,3,3,3,1,3,3,1,2,1,2,4,1,2,1,4,1,4,2,1,4,4,1,2,2,2,0.666666666666667,0.5
"204",9774,1,0.666666666666667,1,1,1,0.75,1,0.666666666666667,0.916666666666667,20,2,1,3,4,1,2,1,1,2,2,4,3,4,4,4,4,1,3,1,1,1,1,2,2,3,2,2,1,3,3,1,3,3,3,0.833333333333333,1
"205",9796,0.333333333333333,0.666666666666667,0,0.666666666666667,0.666666666666667,0.25,0.4,0.166666666666667,0.416666666666667,18,2,2,3,4,1,2,1,1,2,2,3,2,3,3,4,3,3,4,4,1,1,3,1,2,3,2,3,4,4,3,2,2,4,3,0.333333333333333,0.5
"206",9890,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.25,0.2,0.416666666666667,0.25,20,2,1,4,1,2,3,1,1,2,1,1,4,2,2,2,4,4,4,4,1,1,2,3,3,3,3,2,3,3,4,2,1,2,1,0.166666666666667,0.333333333333333
"207",9928,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.75,0.8,0.416666666666667,0.666666666666667,19,2,6,1,2,3,4,1,2,2,4,2,1,3,3,3,3,4,2,2,3,3,2,4,2,4,4,4,4,1,4,1,1,1,1,0.666666666666667,0.666666666666667
"208",9942,0.333333333333333,0,0.666666666666667,0.666666666666667,0.333333333333333,0.5,0.4,0.666666666666667,0.416666666666667,18,2,5,1,2,3,4,1,2,2,4,4,2,2,4,1,4,3,3,3,3,2,3,4,2,4,4,4,1,1,2,2,1,2,2,0.333333333333333,0.5
"209",9943,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0.25,0.4,0.25,0.25,17,1,2,2,2,1,4,0.75,1,1,2,4,1,3,2,3,4,4,2,3,4,1,1,2,4,3,1,3,3,3,4,1,1,1,1,0.166666666666667,0.333333333333333
"210",9984,0,0.333333333333333,0,0.333333333333333,0,0.5,0,0.0833333333333333,0.166666666666667,18,2,2,4,3,2,1,1,2,1,3,2,2,4,2,2,4,2,3,1,4,3,1,2,1,4,3,4,1,4,1,1,3,3,3,0.333333333333333,0
"211",310436,0.666666666666667,1,1,0.666666666666667,1,0.5,1,0.583333333333333,0.833333333333333,18,1,7,2,1,4,3,1,1,1,1,3,2,2,1,1,4,2,2,2,2,2,2,3,3,1,3,1,3,4,2,4,4,4,4,0.666666666666667,1
"212",6809941,1,0.666666666666667,1,0.666666666666667,0.666666666666667,1,0.8,0.666666666666667,0.833333333333333,18,2,1,1,2,3,4,1,2,2,4,2,3,1,2,2,2,3,3,4,3,2,3,4,4,3,3,4,4,1,1,1,1,1,1,1,0.666666666666667
