"","ID","Animal","Artifact","Object","Plant","Biology","Physics","Psychology","INT","MCI","Age","Sex","Race","Version","Condition","Order","1_Test blockV1_INT","2_Test blockV1_INT","3_Test blockV1_INT","4_Test blockV1_MCI","5_Test blockV1_MCI","6_Test blockV1_MCI","7_Test blockV1_INT","8_Test blockV1_INT","9_Test blockV1_INT","10_Test blockV1_MCI","11_Test blockV1_MCI","12_Test blockV1_MCI","13_Test blockV1_INT","14_Test blockV1_INT","15_Test blockV1_INT","16_Test blockV1_MCI","17_Test blockV1_MCI","18_Test blockV1_MCI","19_Test blockV1_INT","20_Test blockV1_INT","21_Test blockV1_INT","22_Test blockV1_MCI","23_Test blockV1_MCI","24_Test blockV1_MCI","Breach","Transfer"
"100",5466,1,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.5,0.8,0.5,0.666666666666667,19,2,1,1,2,1,1,1,1,1,4,2,1,4,1,3,2,4,4,3,3,3,3,3,2,1,4,4,4,4,0.666666666666667,0.666666666666667
"101",5497,0.666666666666667,0.333333333333333,0.333333333333333,0,0.333333333333333,0.25,0.4,0.416666666666667,0.333333333333333,18,1,6,1,2,2,1,3,4,4,1,3,1,3,4,2,4,2,2,2,3,3,1,2,1,3,4,4,3,3,0.5,0.166666666666667
"102",5498,0,0,0.333333333333333,1,0.333333333333333,0.5,0.2,0.416666666666667,0.333333333333333,17,2,1,2,1,4,3,4,2,1,4,2,4,3,2,3,1,3,2,4,2,4,1,3,1,4,1,2,3,3,0.333333333333333,0.333333333333333
"103",5522,0,0.333333333333333,0,0.333333333333333,0.666666666666667,0,0,0.166666666666667,0.166666666666667,19,1,4,2,2,3,2,1,1,2,3,2,3,4,3,2,2,3,1,4,2,1,4,2,4,3,4,3,3,4,0,0.333333333333333
"104",5652,0,0,0.333333333333333,0.333333333333333,0,0.25,0.2,0.333333333333333,0.166666666666667,23,1,2,2,1,4,2,3,3,4,1,1,4,2,3,3,2,3,2,3,2,1,2,3,1,1,2,3,4,4,0.166666666666667,0.166666666666667
"105",5654,0.333333333333333,0.333333333333333,0,0.333333333333333,0.333333333333333,0.5,0,0.416666666666667,0.25,17,2,6,1,2,2,1,4,3,4,3,4,2,1,4,3,3,2,1,2,2,3,3,2,1,3,1,1,1,1,0.5,0
"106",5668,0.333333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.5,0.2,0.25,0.416666666666667,19,2,6,1,1,1,3,3,1,1,1,1,2,2,1,2,3,2,4,4,4,4,4,4,1,3,3,3,3,3,0.5,0.333333333333333
"107",5715,1,1,0,0.333333333333333,0.666666666666667,0.75,0.4,0.5,0.583333333333333,19,1,6,2,1,4,2,2,3,2,2,3,3,3,1,3,3,1,1,2,4,3,4,4,1,3,4,2,3,1,0.833333333333333,0.333333333333333
"108",5759,0.333333333333333,0,0,0.333333333333333,0,0.25,0.2,0.25,0.166666666666667,19,2,6,1,1,4,2,4,3,3,1,2,2,2,3,2,1,1,1,4,2,2,3,2,3,3,3,4,4,1,0.333333333333333,0
"109",5830,0.333333333333333,0.333333333333333,0,0.333333333333333,0.333333333333333,0.5,0,0.25,0.25,20,2,1,2,2,4,1,2,3,1,1,3,3,1,4,2,4,4,3,2,3,4,4,4,1,2,4,3,3,2,0.333333333333333,0.166666666666667
"110",5840,0,0.333333333333333,0,0.333333333333333,0,0.25,0.2,0.25,0.166666666666667,20,2,1,2,1,3,2,3,3,2,2,3,2,2,4,1,4,2,2,2,3,4,2,3,3,3,4,3,3,4,0.166666666666667,0.166666666666667
"111",5878,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0.2,0.25,0.166666666666667,20,2,5,1,2,2,3,3,2,1,3,3,4,2,3,2,3,1,2,3,2,2,3,3,3,2,2,2,4,4,0,0.333333333333333
"112",6028,0.333333333333333,0,0.666666666666667,1,0.333333333333333,0.75,0.4,0.25,0.5,20,2,1,2,1,4,1,4,2,1,1,2,4,1,2,3,1,3,2,2,4,4,4,2,1,2,3,1,3,3,0.5,0.5
"113",6031,0,0.333333333333333,0.666666666666667,0,0.333333333333333,0,0.4,0.166666666666667,0.25,19,2,7,1,1,1,3,4,4,3,1,2,2,1,3,4,4,2,2,4,2,2,4,1,4,3,2,1,4,3,0,0.5
"114",6071,0.666666666666667,0.333333333333333,1,0.333333333333333,0.666666666666667,0.5,0.6,0.416666666666667,0.583333333333333,18,1,2,1,1,2,1,1,4,4,4,3,1,3,1,1,4,1,2,2,3,4,2,4,1,2,1,3,3,1,0.5,0.666666666666667
"115",6115,0,0,0.666666666666667,0.666666666666667,0.333333333333333,0.25,0.4,0.0833333333333333,0.333333333333333,20,2,2,1,2,2,3,2,3,2,1,2,4,3,3,1,4,1,1,1,4,2,3,4,3,2,1,4,3,2,0.166666666666667,0.5
"116",6163,0.666666666666667,1,1,0.666666666666667,0.666666666666667,0.75,1,0.75,0.833333333333333,18,2,1,2,1,4,2,1,2,2,2,2,3,2,4,3,3,3,4,4,4,3,2,4,1,1,1,1,1,1,0.833333333333333,0.833333333333333
"117",6169,0,0,0.333333333333333,0.333333333333333,0,0.25,0.2,0.333333333333333,0.166666666666667,18,1,6,2,1,3,1,3,3,1,1,1,4,4,1,4,3,4,3,2,2,2,2,2,3,4,1,3,3,3,0.166666666666667,0.166666666666667
"118",6178,0,0.666666666666667,0.333333333333333,0.333333333333333,0,0.5,0.4,0.416666666666667,0.333333333333333,18,1,2,2,2,4,3,2,4,4,4,3,4,3,4,3,3,3,3,1,1,1,1,4,1,1,1,2,2,4,0.333333333333333,0.333333333333333
"119",6184,0,0.333333333333333,0.666666666666667,0,0.333333333333333,0,0.4,0.583333333333333,0.25,18,2,6,1,2,1,1,4,3,2,1,2,2,2,2,3,3,2,4,2,3,2,4,1,4,4,1,2,4,2,0,0.5
"120",6228,0,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0,0.4,0.416666666666667,0.333333333333333,19,2,2,1,1,2,4,2,4,2,4,2,2,2,4,3,4,2,1,1,2,2,4,4,3,3,2,3,3,1,0,0.666666666666667
"121",6361,0.333333333333333,0.333333333333333,0,0.333333333333333,0.666666666666667,0.25,0,0.25,0.25,18,2,2,1,1,1,1,3,1,1,1,3,3,1,4,2,1,1,3,4,2,4,2,2,1,3,2,3,3,2,0.333333333333333,0.166666666666667
"122",6385,0,0,0,0,0,0,0,0.416666666666667,0,17,2,2,2,2,3,3,1,4,2,4,1,3,4,4,3,2,2,1,4,2,2,3,3,2,3,4,1,1,1,0,0
"123",6412,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,1,0.5,0.2,0.583333333333333,0.5,18,2,1,1,1,1,1,2,1,1,1,1,2,4,1,4,4,2,2,3,3,3,1,3,4,2,4,2,2,2,0.5,0.5
"124",6429,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.25,0.4,0.333333333333333,0.416666666666667,18,2,2,2,1,4,2,1,4,2,2,4,3,3,3,3,3,4,1,1,1,1,1,1,4,4,4,1,4,3,0.333333333333333,0.5
"125",6435,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.6,0.333333333333333,0.583333333333333,18,2,6,2,1,4,2,1,2,3,2,2,4,1,3,1,4,4,1,1,3,4,3,4,4,1,3,1,1,1,0.5,0.666666666666667
"126",6467,0.333333333333333,0.333333333333333,0,0,0,0.5,0,0.416666666666667,0.166666666666667,20,2,6,2,2,3,4,3,4,2,4,4,2,4,2,3,2,3,1,1,1,4,1,1,3,3,3,3,3,4,0.333333333333333,0
"127",6482,0,0.333333333333333,0,0.666666666666667,0.333333333333333,0.25,0.2,0.25,0.25,18,2,2,1,1,2,2,1,1,3,1,4,2,1,4,4,1,4,3,3,3,2,1,4,3,2,3,2,4,2,0.166666666666667,0.333333333333333
"128",6522,1,0.666666666666667,0.666666666666667,0,0.666666666666667,0.5,0.6,0.75,0.583333333333333,18,2,2,1,2,1,1,1,1,1,1,4,2,3,2,3,1,3,2,2,3,1,3,3,4,4,4,4,4,4,0.666666666666667,0.5
"129",6672,1,1,1,1,1,1,1,0.583333333333333,1,18,2,2,2,2,4,2,3,2,2,2,2,3,4,3,3,3,3,3,3,1,4,4,4,1,1,1,1,1,1,1,1
"130",6718,0.333333333333333,0.333333333333333,0,0.333333333333333,0.333333333333333,0.5,0,0.25,0.25,20,1,1,1,1,1,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,0.333333333333333,0.166666666666667
"131",6828,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.75,0.4,0.5,0.5,18,2,1,2,1,4,3,3,2,2,3,4,3,3,2,3,4,1,4,2,3,1,4,4,1,1,3,1,1,3,0.666666666666667,0.333333333333333
"132",6898,0.333333333333333,1,1,0.666666666666667,0.666666666666667,0.5,1,0.416666666666667,0.75,20,2,6,2,2,3,3,2,2,1,3,2,4,3,4,4,4,4,2,1,2,1,3,1,1,2,3,2,2,2,0.5,1
"133",6945,0,0.333333333333333,0,0,0,0.25,0,0.25,0.0833333333333333,19,1,1,1,1,2,2,4,1,1,2,1,4,4,3,2,3,3,3,1,2,3,1,2,3,4,2,4,4,1,0.166666666666667,0
"134",6967,0,0,0.666666666666667,0.666666666666667,0.333333333333333,0.25,0.4,0.416666666666667,0.333333333333333,18,1,6,1,2,1,4,2,1,4,2,3,3,2,2,2,1,1,3,3,1,3,2,2,3,3,3,4,4,2,0.166666666666667,0.5
"135",6979,1,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,0.75,0.6,0.5,0.583333333333333,18,1,6,2,1,3,3,3,1,3,4,4,2,3,3,4,3,2,4,4,1,2,1,1,2,2,2,2,2,2,0.833333333333333,0.333333333333333
"136",7067,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667,0.25,0.6,0.333333333333333,0.5,18,2,1,2,2,3,3,4,1,3,3,3,1,1,1,3,1,1,4,1,3,4,4,4,2,2,3,2,2,2,0.5,0.5
"137",7108,1,1,0.666666666666667,0.666666666666667,0.666666666666667,1,0.8,0.5,0.833333333333333,18,2,2,2,2,3,3,3,4,3,3,3,4,4,3,4,4,1,4,4,1,3,1,1,3,2,1,2,2,2,1,0.666666666666667
"138",7137,0,0.333333333333333,0,0.333333333333333,0.666666666666667,0,0,0.333333333333333,0.166666666666667,19,1,1,2,2,4,1,3,2,1,2,3,3,3,1,2,1,1,2,2,1,4,2,2,1,4,3,4,4,4,0,0.333333333333333
"139",7152,1,0.666666666666667,0.666666666666667,1,1,0.75,0.8,0.666666666666667,0.833333333333333,18,2,4,2,1,4,2,2,2,2,2,2,2,3,4,3,3,3,4,2,4,4,4,3,1,1,2,4,1,1,0.833333333333333,0.833333333333333
"140",7353,0.333333333333333,0,0.666666666666667,0.333333333333333,0,0.5,0.4,0.416666666666667,0.333333333333333,20,2,5,1,2,2,4,3,3,3,3,4,1,1,4,4,3,4,4,2,3,3,2,4,4,3,4,3,3,4,0.333333333333333,0.333333333333333
"141",7370,0.666666666666667,1,1,0.333333333333333,0.666666666666667,0.75,0.8,0.916666666666667,0.75,19,1,1,2,2,4,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,1,4,4,1,1,2,1,1,3,0.666666666666667,0.833333333333333
"142",7385,1,1,1,0.333333333333333,1,0.5,1,0.5,0.833333333333333,18,1,4,1,1,2,1,3,1,4,4,1,1,4,4,4,1,1,2,2,4,2,2,2,3,3,3,3,3,3,0.666666666666667,1
"143",7577,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.5,0.8,0.5,0.583333333333333,20,2,1,1,2,2,4,4,4,4,1,4,1,1,1,1,1,1,3,3,4,1,3,1,4,4,2,4,3,3,0.666666666666667,0.5
"144",7598,0.666666666666667,0.333333333333333,0,0,0.333333333333333,0.5,0,0.25,0.25,19,2,2,2,2,3,2,4,4,3,2,4,4,3,2,3,3,3,3,4,1,3,1,1,4,4,2,4,4,4,0.5,0
"145",7734,0.333333333333333,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.5,0.6,0.0833333333333333,0.5,18,2,2,1,2,2,1,3,1,1,1,4,2,1,3,4,2,1,3,3,3,2,1,2,2,4,4,4,3,3,0.5,0.5
"146",7751,0.333333333333333,0,1,1,0.333333333333333,0.75,0.6,0.583333333333333,0.583333333333333,18,2,6,2,2,3,3,1,2,2,2,3,4,4,3,4,3,4,1,1,2,1,1,4,2,2,3,2,2,3,0.5,0.666666666666667
"147",7877,0,0,0.333333333333333,0.333333333333333,0,0.25,0.2,0.0833333333333333,0.166666666666667,20,1,1,1,2,2,1,2,1,1,2,4,1,4,2,2,4,3,4,4,1,4,4,3,1,4,2,3,2,2,0.166666666666667,0.166666666666667
"148",7941,0.666666666666667,0,0.666666666666667,0.333333333333333,0.333333333333333,0.25,0.6,0.416666666666667,0.416666666666667,19,2,4,1,2,1,1,4,1,1,4,1,3,3,4,3,3,3,4,2,3,2,2,2,4,3,4,4,4,4,0.5,0.333333333333333
"149",7944,0.333333333333333,0.666666666666667,1,0.333333333333333,0,0.5,1,0.5,0.583333333333333,18,2,2,1,2,1,3,3,4,3,3,3,2,2,2,2,2,2,1,1,4,1,1,3,4,4,4,4,4,4,0.5,0.666666666666667
"150",7960,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.75,0.4,0.5,0.583333333333333,19,2,1,2,2,4,2,2,1,2,2,2,3,3,4,3,4,4,4,1,4,3,2,4,3,3,2,1,1,3,0.666666666666667,0.5
"151",7990,0.666666666666667,0.333333333333333,1,0,0.333333333333333,0.25,0.8,0.416666666666667,0.5,19,2,1,2,2,3,2,2,2,2,3,2,3,2,4,2,2,4,2,1,2,3,1,2,2,2,2,2,2,2,0.333333333333333,0.666666666666667
"152",8003,0,0,0.333333333333333,0,0,0,0.2,0.25,0.0833333333333333,18,1,1,2,2,3,2,2,1,1,1,2,2,1,4,2,2,3,3,4,4,3,4,3,2,1,2,2,3,4,0,0.166666666666667
"153",8016,1,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.75,0.8,0.25,0.666666666666667,18,2,4,2,2,3,2,2,4,3,2,2,4,4,3,4,4,4,2,2,4,4,1,1,3,2,3,2,3,2,0.833333333333333,0.5
"154",8045,0,0,0.333333333333333,0.333333333333333,0,0.25,0.2,0.166666666666667,0.166666666666667,22,1,1,2,1,3,3,4,2,2,4,3,1,4,3,2,2,2,4,2,2,3,4,2,1,1,4,1,2,1,0.166666666666667,0.166666666666667
"155",8103,1,1,0.666666666666667,1,1,1,0.8,0.833333333333333,0.916666666666667,18,2,2,1,1,2,4,4,4,4,4,4,1,1,1,1,1,1,3,2,4,2,2,2,3,3,3,4,3,3,1,0.833333333333333
"156",8109,0.333333333333333,0.666666666666667,0,0.666666666666667,0.666666666666667,0.25,0.4,0.5,0.416666666666667,18,2,7,1,2,1,1,1,3,4,1,2,2,2,2,2,2,3,2,4,4,3,2,2,4,2,3,1,3,4,0.333333333333333,0.5
"157",8120,0,0,0,0,0,0,0,0,0,18,2,6,1,1,1,2,2,2,2,2,2,1,3,1,1,3,1,4,4,4,2,4,4,3,3,3,3,3,3,0,0
"158",8134,0,0.333333333333333,0.333333333333333,0,0,0,0.4,0.166666666666667,0.166666666666667,19,2,1,2,1,4,3,1,3,4,1,4,4,2,2,2,3,4,1,1,4,3,2,2,2,2,1,3,1,4,0,0.333333333333333
"159",8171,1,1,1,1,1,1,1,0.333333333333333,1,18,1,1,2,1,3,3,2,2,3,3,3,4,2,2,4,4,4,1,3,2,1,1,1,3,2,4,2,2,2,1,1
"160",8235,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,1,0,0.2,0.333333333333333,0.333333333333333,21,1,1,2,1,3,3,2,2,3,3,4,4,1,2,3,3,1,2,1,3,1,3,2,4,2,3,1,2,1,0.166666666666667,0.5
"161",8238,0.333333333333333,0,0.666666666666667,0.333333333333333,0.333333333333333,0.25,0.4,0.333333333333333,0.333333333333333,18,2,6,2,2,3,2,1,3,3,1,3,4,1,1,1,2,2,1,3,3,3,4,4,2,1,4,2,2,4,0.333333333333333,0.333333333333333
"162",8286,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0.2,0.25,0.166666666666667,19,2,4,2,2,4,1,3,4,2,3,3,1,4,3,4,4,3,3,4,1,3,2,1,1,3,4,3,4,3,0.166666666666667,0.166666666666667
"163",8385,0.666666666666667,0.333333333333333,1,0.666666666666667,0.333333333333333,0.75,0.8,0.833333333333333,0.666666666666667,17,2,2,2,1,3,3,1,3,4,3,3,4,4,1,4,3,4,1,1,1,2,1,4,2,2,2,2,2,2,0.666666666666667,0.666666666666667
"164",8454,0,0.333333333333333,1,0.333333333333333,0.333333333333333,0.25,0.6,0.5,0.416666666666667,18,2,7,1,1,2,4,1,2,1,4,2,3,1,2,1,4,1,3,2,1,1,4,4,3,3,3,3,3,1,0.166666666666667,0.666666666666667
"165",8622,0.666666666666667,0.666666666666667,1,0.333333333333333,1,0.5,0.6,0.25,0.666666666666667,20,2,1,2,1,3,3,1,1,3,3,4,1,4,4,2,1,4,2,2,4,1,1,1,4,1,3,2,2,4,0.5,0.833333333333333
"166",8641,0.666666666666667,0.333333333333333,1,0.666666666666667,0,0.75,1,0.416666666666667,0.666666666666667,17,2,1,2,1,4,2,2,1,1,3,2,2,2,2,3,3,3,4,1,4,3,4,2,2,3,1,1,1,1,0.666666666666667,0.666666666666667
"167",8715,0.333333333333333,0.333333333333333,0.666666666666667,0,0.666666666666667,0,0.4,0.25,0.333333333333333,19,2,1,2,1,4,4,1,3,2,2,3,3,3,4,2,2,4,1,1,2,1,2,2,4,1,3,1,1,3,0.166666666666667,0.5
"168",8770,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0.25,0.4,0.333333333333333,0.25,19,2,1,2,1,4,2,1,1,1,3,2,3,2,3,2,3,1,3,2,3,1,3,3,3,1,3,4,1,4,0.166666666666667,0.333333333333333
"169",8848,0.666666666666667,0.666666666666667,0,1,1,1,0,0.833333333333333,0.583333333333333,19,2,1,1,1,2,4,4,4,4,4,4,3,1,3,1,3,3,2,2,2,2,2,2,3,3,3,1,1,1,0.833333333333333,0.333333333333333
"170",8852,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.75,0.6,0.333333333333333,0.583333333333333,18,2,6,1,2,2,3,3,2,3,3,3,1,1,3,1,1,1,2,2,4,2,2,2,4,4,2,3,4,4,0.5,0.666666666666667
"171",8898,0.666666666666667,0.333333333333333,0,0.333333333333333,1,0,0.2,0.0833333333333333,0.333333333333333,23,1,2,1,1,2,2,1,3,4,4,2,3,3,4,3,2,3,1,4,2,2,4,4,2,1,4,1,1,3,0.333333333333333,0.333333333333333
"172",8929,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.4,0.166666666666667,0.416666666666667,22,1,6,2,1,3,4,3,2,3,4,2,3,3,3,4,1,1,2,1,4,2,2,1,4,1,3,2,3,2,0.666666666666667,0.166666666666667
"173",9048,0,1,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.4,0.416666666666667,0.416666666666667,17,2,2,1,2,1,4,1,3,2,1,1,2,3,4,4,2,4,3,1,2,2,1,3,4,4,3,4,3,1,0.333333333333333,0.5
"174",9113,1,0.666666666666667,1,0.666666666666667,0.666666666666667,0.75,1,0.0833333333333333,0.833333333333333,18,2,1,1,1,2,2,3,1,4,1,4,3,4,2,4,1,1,3,4,3,2,2,2,4,3,4,3,3,3,0.833333333333333,0.833333333333333
"175",9162,0.666666666666667,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0.75,0.4,0.166666666666667,0.5,18,1,1,2,1,4,3,1,3,2,1,2,3,1,4,3,3,3,3,2,2,1,4,1,2,3,1,3,4,3,0.666666666666667,0.333333333333333
"176",9234,0.666666666666667,0.666666666666667,0.666666666666667,0,0.666666666666667,0,0.8,0.333333333333333,0.5,17,2,6,2,1,4,2,2,1,2,2,1,2,2,4,4,3,1,3,2,4,1,2,3,2,1,3,1,1,1,0.333333333333333,0.666666666666667
"177",9274,0,1,0.333333333333333,0.333333333333333,0.333333333333333,0.5,0.4,0.333333333333333,0.416666666666667,18,1,1,1,2,2,2,2,4,3,4,2,2,1,4,1,1,1,3,3,4,3,4,2,2,3,3,4,2,1,0.333333333333333,0.5
"178",9390,0.333333333333333,0.666666666666667,0.333333333333333,0,0.333333333333333,0.25,0.4,0.333333333333333,0.333333333333333,22,1,6,1,1,2,2,1,3,4,1,2,2,4,1,2,1,2,2,2,3,1,4,2,4,3,2,2,3,4,0.333333333333333,0.333333333333333
"179",9529,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.5,0.6,0.5,0.583333333333333,20,2,1,2,1,3,3,4,4,3,3,3,2,2,2,4,4,3,1,1,1,4,3,4,2,2,3,2,2,4,0.5,0.666666666666667
"180",9538,0,0,0.333333333333333,0.333333333333333,0.333333333333333,0,0.2,0.416666666666667,0.166666666666667,18,2,5,2,2,3,4,3,1,4,1,2,2,4,4,3,1,3,2,1,3,1,3,4,3,2,3,3,2,1,0,0.333333333333333
"181",9551,1,0.333333333333333,0.666666666666667,0.333333333333333,1,0.25,0.6,0.416666666666667,0.583333333333333,20,2,1,2,2,4,2,1,1,2,2,1,3,3,2,2,1,3,4,3,4,4,4,1,2,3,2,1,3,1,0.5,0.666666666666667
"182",9574,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.75,0.6,0.416666666666667,0.583333333333333,19,2,2,2,1,3,4,4,2,4,4,3,3,3,3,3,3,3,1,1,1,1,1,1,2,2,4,2,2,2,0.666666666666667,0.5
"183",9655,1,1,1,0.666666666666667,0.666666666666667,1,1,0.833333333333333,0.916666666666667,19,1,7,1,1,2,4,3,3,4,4,4,1,1,1,1,1,1,2,2,2,3,2,2,3,3,3,3,3,3,1,0.833333333333333
"184",9661,0,0.666666666666667,0.333333333333333,0,0,0.25,0.4,0.333333333333333,0.25,18,2,2,2,1,4,2,2,2,4,1,1,3,1,4,1,3,3,1,1,1,1,2,4,4,3,2,4,3,3,0.166666666666667,0.333333333333333
"185",9700,0,0.666666666666667,0,0,0.333333333333333,0.25,0,0.25,0.166666666666667,19,2,2,1,2,3,3,2,4,1,3,1,2,2,4,3,1,2,1,2,2,4,2,1,1,3,4,1,1,4,0.166666666666667,0.166666666666667
"186",9774,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,1,0.5,0.4,0.5,0.583333333333333,20,2,1,1,2,2,4,3,4,4,4,3,1,3,1,2,3,1,2,2,3,2,2,2,2,1,1,2,3,1,0.5,0.666666666666667
"187",9796,0,0,0.666666666666667,0,0,0,0.4,0.333333333333333,0.166666666666667,18,2,2,1,2,2,3,3,4,3,2,3,4,3,4,2,3,1,3,2,2,4,1,4,4,3,4,3,4,1,0,0.333333333333333
"188",9890,0,0,0.333333333333333,0,0,0,0.2,0.333333333333333,0.0833333333333333,20,2,1,1,2,1,2,4,2,3,4,4,1,2,3,4,4,1,3,3,2,1,2,1,3,1,4,4,3,2,0,0.166666666666667
"189",9928,1,0,0.333333333333333,0,0.333333333333333,0.25,0.4,0.333333333333333,0.333333333333333,19,2,6,2,2,4,3,3,2,2,3,4,2,2,3,2,4,4,3,3,2,2,4,1,1,1,4,3,1,1,0.5,0.166666666666667
"190",9942,1,0.666666666666667,0.666666666666667,1,1,0.75,0.8,0.583333333333333,0.833333333333333,18,2,6,2,2,4,2,1,1,2,2,2,3,3,4,3,3,3,4,2,4,4,4,3,2,1,1,2,1,1,0.833333333333333,0.833333333333333
"191",9943,0,0.333333333333333,0.333333333333333,0,0,0,0.4,0.0833333333333333,0.166666666666667,17,1,2,1,1,2,3,2,3,2,1,1,2,3,3,4,1,1,1,2,1,1,4,4,4,2,4,1,1,1,0,0.333333333333333
"192",9984,0.333333333333333,0.666666666666667,0,0,0,0.5,0.2,0.25,0.25,18,2,2,2,1,3,3,3,4,2,2,2,1,3,2,1,4,1,3,4,1,2,1,1,4,3,4,3,3,1,0.333333333333333,0.166666666666667
"193",310436,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.333333333333333,0.25,0.8,0.333333333333333,0.5,18,1,6,1,1,1,4,2,4,3,1,2,4,1,1,2,2,3,3,3,2,2,1,1,4,4,1,4,4,4,0.333333333333333,0.666666666666667
"194",6809941,0.333333333333333,0.666666666666667,1,0.333333333333333,0.333333333333333,0.75,0.6,0.666666666666667,0.583333333333333,18,2,1,2,2,4,3,3,2,4,2,4,1,3,4,3,2,3,4,4,4,3,4,4,1,1,1,1,1,3,0.5,0.666666666666667
