ID,age,sex,race,AC_1,AC_2,AC_3,AC_4,AC,Version,Condition,Order,1_Test blockV1_INT,2_Test blockV1_INT,3_Test blockV1_INT,4_Test blockV1_MCI,5_Test blockV1_MCI,6_Test blockV1_MCI,7_Test blockV1_INT,8_Test blockV1_INT,9_Test blockV1_INT,10_Test blockV1_MCI,11_Test blockV1_MCI,12_Test blockV1_MCI,13_Test blockV1_INT,14_Test blockV1_INT,15_Test blockV1_INT,16_Test blockV1_MCI,17_Test blockV1_MCI,18_Test blockV1_MCI,19_Test blockV1_INT,20_Test blockV1_INT,21_Test blockV1_INT,22_Test blockV1_MCI,23_Test blockV1_MCI,24_Test blockV1_MCI
1736,20,2,2,2,1,4,3,1,1,1,1,1,1,4,1,1,1,2,4,2,2,1,2,4,3,4,3,3,3,1,4,4,4,4,4
1766,20,1,1,3,4,1,2,1,1,2,2,4,3,4,4,4,2,1,1,1,1,1,1,3,1,3,2,2,2,1,3,2,3,3,3
1769,20,2,7,4,1,2,3,1,1,2,1,4,1,2,3,1,1,4,3,1,2,1,2,4,2,3,1,3,3,4,3,4,1,4,1
2002,18,2,2,3,4,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,4,4,4,4,2,3,1,2,3,3,3
2115,21,2,4,3,4,1,2,1,1,2,2,4,4,2,4,4,4,1,4,2,1,1,2,2,2,2,1,1,4,3,3,1,3,3,1
2114,18,2,7,1,2,3,4,1,2,2,4,3,2,2,4,3,4,2,3,4,2,2,3,3,1,3,3,4,2,3,2,2,1,4,1
2142,19,2,2,2,3,4,1,1,2,2,3,3,4,3,3,3,4,4,4,4,1,4,4,1,3,1,4,3,3,2,2,1,2,2,2
2163,18,1,1,4,3,2,1,1,2,1,3,3,3,3,3,3,4,4,2,3,4,3,4,1,4,1,1,1,3,2,2,2,2,2,3
2249,19,2,2,3,4,1,2,1,1,2,2,1,1,1,1,1,4,4,4,1,3,1,3,2,2,2,2,2,2,3,4,3,3,3,3
2264,18,2,7,3,2,1,4,1,1,1,2,4,4,4,4,4,4,3,3,3,3,3,3,2,2,1,2,2,2,1,1,2,1,1,1
2333,18,1,1,4,3,2,1,1,2,1,3,4,2,2,4,4,4,3,4,4,3,4,3,1,1,1,1,1,1,2,2,2,2,2,4
2385,21,2,5,3,4,1,2,1,1,2,2,4,2,1,4,4,1,1,3,4,3,1,3,2,2,1,2,2,2,3,3,4,3,3,1
2394,19,1,1,3,4,1,2,1,1,2,2,4,4,3,1,4,2,1,3,4,2,1,2,2,3,2,1,3,4,3,2,4,3,3,4
2418,18,2,1,4,1,2,3,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,1,3,1,3,4,4,4,4,4,4
2419,18,2,2,2,1,4,3,1,1,1,1,1,3,2,1,1,3,3,3,4,2,4,1,4,2,4,2,3,2,4,3,3,1,3,4
2433,18,2,1,4,1,2,3,1,1,2,1,2,4,4,1,1,3,3,2,2,3,2,2,3,3,3,3,1,2,2,4,4,2,1,4
2437,18,2,1,1,4,3,2,1,2,1,4,1,2,4,2,1,2,3,3,1,4,3,1,4,3,3,4,2,2,2,3,2,2,2,2
2462,19,2,1,4,3,2,1,1,2,1,3,4,1,3,3,3,3,4,4,3,4,3,4,1,1,1,1,1,1,2,2,2,2,2,2
2496,18,1,1,2,1,4,3,1,1,1,1,3,2,1,3,3,3,4,1,3,1,3,1,2,2,2,2,4,2,4,4,4,2,3,1
2552,19,2,1,2,3,4,1,1,2,2,3,3,3,1,3,3,4,4,4,3,4,4,2,1,4,1,2,1,3,2,2,2,2,2,2
2643,20,1,6,3,2,1,4,1,1,1,2,4,4,4,4,4,4,1,3,2,1,1,1,3,2,2,2,2,1,3,3,3,3,1,1
2772,17,2,6,2,3,4,1,1,2,2,3,3,3,3,3,3,3,2,2,4,4,4,4,4,1,1,1,1,1,1,2,2,2,2,2
2777,19,2,1,2,1,4,3,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,4,4,3,4,2,4,3,3,3,3,3,3
2858,21,2,6,3,2,1,4,1,1,1,2,4,3,3,4,4,4,1,3,2,1,1,1,2,3,4,3,1,4,4,2,3,2,1,2
2880,19,2,1,2,1,4,3,1,1,1,1,4,1,4,1,4,1,2,2,4,2,2,2,3,3,4,1,3,3,2,1,1,1,1,1
2963,18,2,1,2,3,4,1,1,2,2,3,4,1,3,4,2,3,4,1,4,2,2,1,1,2,1,1,1,1,4,1,4,2,3,3
2967,20,2,5,4,3,2,1,1,2,1,3,3,2,3,3,3,3,4,1,4,4,2,2,2,3,1,2,1,1,1,2,4,4,2,4
3001,18,1,2,4,3,2,1,1,2,1,3,2,3,4,3,3,4,3,3,3,4,2,2,1,1,1,1,4,1,4,3,3,2,2,2
3036,21,2,2,1,2,3,4,1,2,2,4,3,1,3,2,2,3,3,2,3,2,2,4,3,1,4,2,4,3,2,1,4,1,1,2
3042,18,2,1,4,1,2,3,1,1,2,1,1,4,1,1,1,3,2,2,1,2,2,2,3,3,4,2,1,1,1,3,1,4,4,3
3045,20,2,1,4,1,2,3,1,1,2,1,4,3,1,4,4,3,2,2,2,2,1,2,2,1,4,1,4,3,4,3,3,4,3,4
3054,18,2,1,2,3,4,1,1,2,2,3,2,3,3,1,3,3,1,3,4,2,4,1,4,2,2,1,4,4,4,2,2,2,2,1
3092,18,2,7,2,1,4,3,1,1,1,1,1,1,1,1,1,1,2,2,4,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4
3124,18,2,4,2,1,4,3,1,1,1,1,3,3,3,3,3,3,2,2,4,4,4,4,1,1,1,1,1,1,4,2,4,2,2,2
3137,18,2,1,2,1,4,3,1,1,1,1,1,1,1,1,1,1,3,2,2,2,3,2,3,3,3,3,3,3,4,4,4,4,4,4
3280,18,2,1,4,1,2,3,1,1,2,1,4,2,2,4,4,1,3,1,3,1,2,1,1,3,4,3,3,2,4,1,4,4,2,2
3287,18,2,7,3,4,1,2,1,1,2,2,4,4,4,4,4,1,2,3,3,3,3,2,2,3,3,2,3,3,1,1,4,1,1,2
3365,18,2,1,2,3,4,1,1,2,2,3,3,3,1,3,3,2,2,1,4,2,4,2,1,3,1,3,1,1,4,4,4,4,2,4
3422,18,1,7,4,1,2,3,1,1,2,1,1,2,4,1,1,1,2,3,3,4,2,2,3,3,4,3,4,3,2,2,2,4,2,4
3540,19,1,1,3,4,1,2,1,1,2,2,4,2,4,2,1,1,3,1,1,4,4,3,3,1,3,4,2,4,3,3,4,4,3,2
3613,18,1,1,1,4,3,2,1,2,1,4,2,1,2,2,2,2,3,1,3,1,1,1,4,4,4,4,3,4,1,1,3,3,3,1
3654,18,1,2,2,1,4,3,1,1,1,1,4,2,2,1,3,2,1,1,1,1,4,4,1,4,2,3,2,4,2,1,2,1,4,2
3703,18,2,2,4,1,2,3,1,1,2,1,1,1,1,1,1,2,2,2,4,4,2,4,2,3,3,3,2,4,4,3,4,4,4,1
3704,19,2,2,1,4,3,2,1,2,1,4,2,2,2,2,2,2,3,3,3,3,3,1,4,4,4,4,4,4,1,1,1,1,1,3
3716,18,1,2,1,2,3,4,1,2,2,4,1,1,2,1,2,2,1,3,3,3,1,4,2,3,4,3,3,4,1,1,1,3,1,1
3776,18,2,6,1,4,3,2,1,2,1,4,2,2,2,2,3,3,3,3,2,3,3,2,4,4,3,4,4,4,2,1,3,1,1,1
3802,18,2,6,2,1,4,3,1,1,1,1,3,1,1,1,1,1,4,2,2,2,1,1,4,2,4,3,3,2,2,3,4,4,4,4
4046,18,2,6,2,3,4,1,1,2,2,3,1,2,1,2,3,1,4,4,2,4,4,2,4,3,2,3,2,1,3,2,3,1,2,3
4055,18,2,2,1,2,3,4,1,2,2,4,3,2,2,3,2,2,2,2,3,3,3,3,4,4,4,4,4,4,1,1,1,1,1,2
4070,18,1,1,1,2,3,4,1,2,2,4,2,1,2,2,2,2,3,3,4,3,3,3,4,4,1,4,4,4,1,2,2,1,1,1
4102,18,1,6,1,2,3,4,1,2,2,4,2,1,2,2,2,1,3,3,1,2,3,3,1,2,4,2,4,4,2,1,2,1,1,2
4105,18,2,1,4,3,2,1,1,2,1,3,3,2,3,3,3,3,4,4,3,4,4,4,1,1,1,1,1,1,2,2,2,2,2,2
4161,19,2,5,4,1,2,3,1,1,2,1,3,3,3,3,3,1,2,3,2,1,1,3,4,1,4,1,1,1,4,4,1,4,4,4
4183,21,2,1,1,2,3,4,1,2,2,4,2,2,1,2,2,2,1,3,1,3,3,3,3,3,4,4,4,4,1,2,1,2,4,4
4191,19,2,6,4,3,2,1,1,2,1,3,3,3,1,1,3,2,2,4,3,4,4,3,3,2,4,1,1,4,2,2,3,2,1,4
4204,19,2,6,4,3,2,1,1,2,1,3,1,3,3,3,3,3,2,3,4,2,2,1,2,3,1,2,4,2,3,3,2,4,2,3
4221,18,2,6,3,4,1,2,1,1,2,2,4,4,1,4,4,4,1,1,1,1,1,4,2,2,2,4,4,2,3,3,3,4,3,3
4259,18,2,5,2,1,4,3,1,1,1,1,3,3,2,3,2,2,1,3,1,3,1,1,1,2,2,2,2,2,4,4,1,1,1,1
4296,18,2,6,2,1,4,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,3,3,3,3,1,3,2,4,4,4,4,4
4626,19,1,1,3,4,1,2,1,1,2,2,4,4,3,3,4,3,1,1,1,1,3,1,2,3,2,2,3,2,2,2,4,2,4,3
4689,19,2,2,3,2,1,4,1,1,1,2,4,4,4,4,4,4,1,1,2,3,1,1,2,2,2,2,2,4,3,2,3,3,3,3
4718,18,2,1,4,1,2,3,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,3,4,3,3,3,3,3,3
4878,18,2,2,2,1,4,3,1,1,1,1,3,4,2,2,4,4,4,4,3,3,2,2,1,3,2,1,3,3,1,2,1,3,2,2
4889,19,2,1,1,2,3,4,1,2,2,4,2,2,2,2,2,2,3,3,2,3,3,1,4,4,4,4,4,4,1,1,1,1,3,1
4942,18,1,1,2,1,4,3,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,2
5093,18,1,2,4,1,3,3,0.75,1,2,1,4,4,1,4,4,4,3,3,1,3,4,3,3,2,2,2,2,2,1,1,1,3,1,3
5105,21,2,1,1,4,3,2,1,2,1,4,2,1,4,2,2,3,3,1,4,4,1,3,3,3,4,4,3,3,1,1,1,3,1,1
5182,20,1,1,1,4,3,2,1,2,1,4,2,2,4,2,2,2,4,3,3,3,3,2,1,2,4,2,4,4,1,3,1,1,1,1
5404,18,1,6,3,2,1,4,1,1,1,2,4,4,4,4,4,1,1,1,3,1,2,4,4,2,2,2,4,1,3,3,3,3,3,3
5466,19,2,1,4,1,2,3,1,1,2,1,1,4,4,1,1,1,2,3,1,2,2,2,3,3,3,3,3,3,1,4,4,4,4,4
5497,18,1,6,3,4,1,2,1,1,2,2,4,1,1,4,4,4,1,1,4,3,4,4,2,2,3,1,1,2,4,3,4,2,3,3
5498,17,2,1,1,4,3,2,1,2,1,4,4,3,3,1,3,2,4,3,4,2,4,4,2,4,3,2,1,1,3,4,1,2,3,2
5509,18,2,7,1,4,3,2,1,2,1,4,2,2,2,4,2,2,3,3,3,4,2,3,1,3,2,2,4,4,1,1,2,1,1,1
5522,19,1,4,2,3,4,1,1,2,2,3,4,3,2,3,3,3,2,2,2,3,4,4,2,3,2,1,1,4,3,3,4,3,2,3
5652,23,1,2,1,4,3,2,1,2,1,4,2,3,2,1,3,1,3,4,4,2,1,1,4,3,2,3,4,1,1,2,1,4,4,1
5654,17,2,6,3,4,1,2,1,1,2,2,1,1,3,4,3,4,3,1,1,2,3,3,2,2,3,1,4,3,1,2,2,2,1,3
5668,19,2,6,2,1,4,3,1,1,1,1,3,1,1,1,1,1,2,2,1,2,3,2,4,4,4,4,3,4,1,3,3,3,3,3
5715,19,1,6,1,4,3,2,1,2,1,4,2,2,2,2,2,3,1,3,2,3,3,1,1,2,4,1,4,4,1,4,4,2,3,1
5759,19,2,4,1,4,3,2,1,2,1,4,4,2,1,2,1,1,3,3,2,3,1,3,2,3,4,4,4,3,3,4,4,2,1,4
5795,18,2,7,3,2,1,4,1,1,1,2,3,4,3,2,4,4,1,1,1,1,1,1,2,1,2,2,2,4,3,2,3,3,3,3
5830,20,2,1,1,2,3,4,1,2,2,4,2,2,2,2,2,1,3,3,1,3,4,3,3,2,1,4,1,4,2,4,1,1,1,1
5840,20,2,1,4,3,2,1,1,2,1,3,3,1,2,3,4,2,3,1,3,2,3,2,2,4,4,4,4,3,1,2,4,2,1,2
5878,20,2,5,3,4,1,2,1,1,2,2,2,2,2,3,3,3,4,1,2,3,4,4,2,3,4,2,2,1,4,2,3,2,1,4
6028,20,2,1,1,4,3,2,1,2,1,4,1,2,4,1,1,2,2,2,2,3,4,1,1,2,3,4,1,2,2,4,4,3,4,1
6031,19,2,7,2,1,4,3,1,1,1,1,3,4,3,2,3,3,3,1,3,3,2,2,2,4,1,2,4,1,4,3,1,4,4,4
6071,18,1,2,3,2,1,4,1,1,1,2,1,1,4,4,2,1,1,1,1,1,4,1,2,2,3,2,2,3,3,2,4,3,1,4
6088,18,2,7,4,1,2,3,1,1,2,1,1,1,4,1,1,2,1,2,2,2,2,4,3,3,2,3,3,3,4,2,4,4,3,4
6099,18,2,1,2,1,4,3,1,1,1,1,2,2,3,1,1,2,1,3,3,2,1,1,4,2,2,3,2,1,4,4,4,4,3,4
6115,20,2,2,3,4,1,2,1,1,2,2,2,1,3,4,1,1,1,3,3,2,4,1,1,3,2,4,4,1,3,4,3,2,3,2
6163,18,2,1,1,4,3,2,1,2,1,4,2,2,2,2,2,2,3,3,2,3,3,3,4,4,4,3,4,4,1,1,1,1,1,1
6169,18,1,6,4,3,2,1,1,2,1,3,3,1,1,1,1,1,4,4,1,4,4,4,4,2,2,2,2,2,3,3,3,3,3,3
6178,18,1,2,1,2,3,4,1,2,2,4,4,3,2,2,4,3,1,3,2,2,4,3,1,3,2,1,2,4,1,1,1,3,2,1
6184,18,2,6,4,1,2,3,1,1,2,1,1,2,2,4,1,4,2,2,2,2,4,2,4,2,3,2,3,1,3,3,3,3,4,4
6228,19,2,2,3,2,1,4,1,1,1,2,3,2,4,2,4,3,1,1,2,3,3,1,2,1,3,2,3,4,3,3,2,2,2,2
6361,18,2,2,2,1,4,3,1,1,1,1,1,4,1,1,1,2,4,2,3,2,2,2,3,4,4,4,3,4,3,2,3,3,3,2
6365,19,2,1,2,3,4,1,1,2,2,3,3,3,3,3,3,3,4,1,3,4,4,2,1,4,4,1,1,1,2,2,2,2,2,2
6385,17,2,2,2,3,4,1,1,2,2,3,4,2,3,4,2,1,3,1,1,1,3,3,3,1,4,2,4,3,2,1,4,2,2,1
6412,18,2,1,2,1,4,3,1,1,1,1,1,1,1,1,1,1,4,1,1,4,4,4,3,3,3,3,3,4,2,2,2,2,2,2
6429,18,2,2,1,4,3,2,1,2,1,4,2,1,2,2,2,3,3,3,3,3,3,3,3,3,4,4,4,3,3,1,1,1,1,1
6435,18,2,6,1,4,3,2,1,2,1,4,2,1,1,2,2,2,4,1,4,1,3,4,4,4,3,3,4,3,3,1,1,1,1,1
6467,20,2,6,2,3,4,1,1,2,2,3,2,3,3,2,4,4,2,4,2,4,4,1,1,1,1,1,1,1,3,2,3,3,3,4
6482,18,2,2,3,2,1,4,1,1,1,2,1,3,4,4,2,1,2,3,4,3,4,4,1,4,3,2,4,1,3,3,1,2,1,2
6522,18,2,2,4,1,2,3,1,1,2,1,1,1,1,1,1,1,2,4,2,2,4,3,4,4,3,3,3,3,4,4,4,4,4,4
6672,18,2,2,1,2,3,4,1,2,2,4,2,3,2,2,2,2,4,3,3,3,3,3,1,3,3,4,4,4,1,1,1,1,1,1
6718,19,1,1,2,2,4,3,0.75,1,1,1,4,3,4,2,4,3,3,2,3,3,4,3,3,2,3,3,3,3,1,3,2,3,3,2
6754,18,1,5,3,2,1,4,1,1,1,2,4,4,1,4,1,4,1,1,4,1,1,1,3,2,1,3,3,3,3,2,2,2,2,2
6828,18,2,1,1,4,3,2,1,2,1,4,2,2,2,2,4,2,3,3,2,3,3,3,4,2,4,3,4,4,1,1,1,3,1,1
6898,20,2,6,2,3,4,1,1,2,2,3,3,4,2,3,3,2,3,4,4,4,4,4,1,1,1,1,1,1,2,2,2,2,2,2
6945,19,1,1,3,2,1,4,1,1,1,2,1,4,1,1,1,1,4,1,3,4,1,3,4,2,2,4,3,2,3,4,2,3,3,4
6967,18,1,6,4,1,2,3,1,1,2,1,1,2,3,2,1,1,3,2,1,4,2,2,3,3,1,3,2,4,1,3,4,4,4,2
6979,18,1,6,4,3,2,1,1,2,1,3,1,4,4,3,4,4,2,3,1,3,4,1,4,3,4,2,3,1,2,2,2,2,2,2
7067,18,2,1,2,3,4,1,1,2,2,3,3,3,3,3,3,3,4,4,3,1,1,3,1,3,4,2,1,1,2,2,3,2,2,2
7108,18,2,2,2,3,4,1,1,2,2,3,1,3,4,3,3,3,1,1,3,4,4,1,4,1,1,3,1,1,2,2,2,2,2,2
7137,19,1,1,1,2,3,4,1,2,2,4,4,3,2,1,1,1,3,3,1,3,4,1,2,1,2,2,2,2,2,4,4,4,4,4
7152,18,2,4,1,4,3,2,1,2,1,4,2,2,2,2,2,2,3,3,4,3,3,3,4,2,4,3,4,3,1,1,1,1,1,1
7353,20,2,5,3,4,1,2,1,1,2,2,4,4,4,4,4,4,1,1,4,1,1,3,2,2,2,2,2,4,3,3,3,3,3,3
7370,19,1,1,1,2,3,4,1,2,2,4,2,2,2,2,2,3,3,3,2,3,3,3,4,4,4,3,4,4,1,1,2,1,3,3
7385,18,1,4,3,2,1,4,1,1,1,2,3,4,2,4,4,4,1,1,4,1,1,3,2,2,1,2,2,2,3,2,3,3,3,3
7577,20,2,1,3,4,1,2,1,1,2,2,4,4,4,4,4,4,1,1,1,1,1,1,3,3,4,3,3,3,2,2,2,2,2,4
7598,19,2,2,2,3,4,1,1,2,2,3,2,3,3,3,2,3,4,2,3,3,3,3,1,1,1,1,1,2,4,4,2,4,4,2
7734,18,2,2,3,4,1,2,1,1,2,2,2,4,4,4,3,2,1,1,2,1,2,1,4,3,2,3,2,3,3,4,4,3,4,2
7751,18,2,6,2,3,4,1,1,2,2,3,1,1,2,1,2,2,4,4,3,4,3,4,1,3,1,2,2,3,3,2,2,3,2,2
7837,19,2,2,4,1,2,3,1,1,2,1,1,1,1,1,1,1,2,2,1,2,4,2,4,3,3,3,3,1,4,4,2,4,4,4
7877,20,1,1,3,4,1,2,1,1,2,2,2,3,4,2,3,1,1,3,2,1,1,1,2,4,2,1,4,3,1,1,4,3,4,3
7918,20,1,2,3,2,1,4,1,1,1,2,4,3,3,4,4,2,1,1,1,1,3,1,2,3,3,2,4,4,3,4,3,3,3,3
7941,19,2,4,4,1,2,3,1,1,2,1,1,1,1,1,1,1,3,3,3,3,3,3,4,2,2,2,2,2,4,3,4,4,4,4
7944,18,2,2,4,1,2,3,1,1,2,1,3,3,1,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,4,4,4,4,4,4
7960,19,2,1,1,2,3,4,1,2,2,4,2,2,1,4,2,2,3,3,4,1,1,4,4,3,4,3,4,4,1,1,2,1,1,1
7990,19,2,1,2,3,4,1,1,2,2,3,2,3,3,4,3,4,1,1,2,4,3,1,2,3,3,4,2,1,2,2,2,2,1,2
8003,18,1,1,2,3,4,1,1,2,2,3,2,1,2,3,3,4,2,3,4,3,3,2,1,4,3,4,4,4,2,2,3,2,4,3
8016,18,2,4,2,3,4,1,1,2,2,3,2,3,2,3,2,2,4,4,1,4,4,4,1,2,1,4,1,1,3,3,3,3,3,3
8045,22,1,1,4,3,2,1,1,2,1,3,3,1,3,3,3,3,1,3,3,3,3,2,3,2,3,4,4,4,1,1,1,2,2,2
8103,18,2,2,3,2,1,4,1,1,1,2,4,4,4,4,4,4,1,1,1,1,1,1,3,2,3,2,2,2,3,3,3,3,3,3
8109,18,2,7,4,1,2,3,1,1,2,1,1,1,1,4,1,1,2,2,3,2,2,3,2,4,4,3,3,3,4,4,1,4,4,4
8120,18,2,6,2,1,4,3,1,1,1,1,2,2,2,2,2,2,1,3,1,1,3,1,4,4,4,4,4,4,3,3,3,3,3,3
8134,19,2,1,1,4,3,2,1,2,1,4,2,3,1,2,2,2,3,4,2,3,3,1,1,4,2,3,4,1,1,1,3,1,1,2
8171,18,1,1,4,3,2,1,1,2,1,3,3,2,2,2,3,2,4,4,4,2,2,4,1,1,1,1,1,1,2,2,3,4,2,2
8235,21,1,1,4,3,2,1,1,2,1,3,3,3,3,2,2,4,4,4,3,4,2,2,1,3,1,2,3,1,3,1,2,3,2,2
8238,18,2,6,2,3,3,1,1,2,2,3,2,2,2,3,4,3,3,3,3,4,2,3,2,4,3,1,4,1,3,2,3,3,1,1
8286,19,2,4,1,2,3,4,1,2,2,4,2,1,3,2,2,4,1,1,4,1,3,4,4,4,3,4,1,3,2,4,4,4,3,3
8385,17,2,2,4,3,2,1,1,2,1,3,3,3,3,3,3,3,4,1,4,4,3,4,1,1,1,4,1,1,2,2,2,2,2,2
8454,18,2,7,3,2,1,4,1,1,1,2,4,2,4,4,4,2,1,1,2,1,4,1,3,2,1,1,4,2,3,3,3,3,3,4
8622,20,2,1,4,3,2,1,1,2,1,3,3,3,1,3,3,3,2,2,4,4,4,4,2,1,4,4,1,1,1,4,1,2,2,1
8641,17,2,1,1,4,3,2,1,2,1,4,2,2,3,2,1,2,1,3,3,3,3,3,4,3,4,1,4,2,1,1,1,1,1,1
8715,19,2,1,1,4,3,2,1,2,1,4,4,3,2,2,4,3,4,3,4,3,3,3,1,3,2,2,4,2,3,1,1,1,1,1
8770,19,2,1,1,4,3,2,1,2,1,4,3,3,3,2,2,3,2,4,3,4,2,3,3,4,4,3,4,4,1,1,1,1,1,1
8848,19,2,1,3,2,1,4,1,1,1,2,4,4,4,4,4,4,3,1,1,1,1,3,2,2,2,2,2,2,3,3,3,1,3,3
